ImageName	MouseID	SpotID	TimePoint	DayAfterInduction
2019_07_17__17_31_44h__channel00.tif	bf2985	SPOT1	1	d8/
2019_07_18__15_40_50h__channel00.tif	bf2985	SPOT1	2	d9/
2019_07_20__16_22_44h__channel00.tif	bf2985	SPOT1	3	d11/
2019_07_21__15_28_52h__channel00.tif	bf2985	SPOT1	4	d12/
2019_07_22__13_57_00h__channel00.tif	bf2985	SPOT1	5	d13/
2019_07_23__12_56_20h__channel00.tif	bf2985	SPOT1	6	d14/
2019_07_28__15_36_41h__channel00.tif	bf2985	SPOT1	7	d19/
2019_07_29__20_45_06h__channel00.tif	bf2985	SPOT1	8	d20/
2019_07_30__14_56_50h__channel00.tif	bf2985	SPOT1	9	d21/
2019_07_31__16_37_30h__channel00.tif	bf2985	SPOT1	10	d22/
2019_08_01__15_19_57h__channel00.tif	bf2985	SPOT1	11	d23/
2019_08_03__10_03_07h__channel00.tif	bf2985	SPOT1	12	d25/
2019_08_05__14_32_20h__channel00.tif	bf2985	SPOT1	13	d27/
2019_08_06__14_36_23h__channel00.tif	bf2985	SPOT1	14	d28/
2019_08_07__14_25_24h__channel00.tif	bf2985	SPOT1	15	d29/
2019_08_08__12_38_34h__channel00.tif	bf2985	SPOT1	16	d30/
2019_08_09__09_02_29h__channel00.tif	bf2985	SPOT1	17	d31/
2019_08_10__08_19_40h__channel00.tif	bf2985	SPOT1	18	d32/
2019_08_12__15_26_17h__channel00.tif	bf2985	SPOT1	19	d34/
2019_08_13__12_38_58h__channel00.tif	bf2985	SPOT1	20	d35/
2019_08_14__10_41_54h__channel00.tif	bf2985	SPOT1	21	d36/
2019_08_15__10_01_20h__channel00.tif	bf2985	SPOT1	22	d37/
2019_08_16__11_47_41h__channel00.tif	bf2985	SPOT1	23	d38/
2019_08_17__20_55_49h__channel00.tif	bf2985	SPOT1	24	d39/
2019_08_19__11_04_54h__channel00.tif	bf2985	SPOT1	25	d41/
2019_08_20__11_22_36h__channel00.tif	bf2985	SPOT1	26	d42/
2019_08_21__10_02_41h__channel00.tif	bf2985	SPOT1	27	d43/
