ImageName	MouseID	SpotID	TimePoint	DayAfterInduction
2020_01_14__11_19_34h__channel00.tif	bf4845	SPOT1	1	d6/
2020_01_15__10_48_57h__channel00.tif	bf4845	SPOT1	2	d7/
2020_01_18__12_17_00h__channel00.tif	bf4845	SPOT1	3	d10/
2020_01_19__16_07_24h__channel00.tif	bf4845	SPOT1	4	d11/
2020_01_20__11_13_51h__channel00.tif	bf4845	SPOT1	5	d12/
2020_01_21__10_20_57h__channel00.tif	bf4845	SPOT1	6	d13/
2020_01_22__09_38_29h__channel00.tif	bf4845	SPOT1	7	d14/
2020_01_23__09_58_17h__channel00.tif	bf4845	SPOT1	8	d15/
2020_01_24__09_44_36h__channel00.tif	bf4845	SPOT1	9	d16/
2020_01_25__16_42_28h__channel00.tif	bf4845	SPOT1	10	d17/
2020_01_26__15_33_00h__channel00.tif	bf4845	SPOT1	11	d18/
2020_01_27__09_53_27h__channel00.tif	bf4845	SPOT1	12	d19/
2020_01_28__10_35_04h__channel00.tif	bf4845	SPOT1	13	d20/
2020_01_29__10_31_06h__channel00.tif	bf4845	SPOT1	14	d21/
2020_01_30__15_12_23h__channel00.tif	bf4845	SPOT1	15	d22/
2020_02_01__10_58_28h__channel00.tif	bf4845	SPOT1	16	d24/
2020_02_03__10_27_52h__channel00.tif	bf4845	SPOT1	17	d26/
2020_02_04__10_30_35h__channel00.tif	bf4845	SPOT1	18	d27/
2020_02_05__11_33_19h__channel00.tif	bf4845	SPOT1	19	d28/
2020_02_06__10_12_51h__channel00.tif	bf4845	SPOT1	20	d29/
2020_02_08__12_53_21h__channel00.tif	bf4845	SPOT1	21	d31/
2020_02_09__12_07_18h__channel00.tif	bf4845	SPOT1	22	d32/
2020_02_10__10_10_22h__channel00.tif	bf4845	SPOT1	23	d33/
2020_02_11__10_38_42h__channel00.tif	bf4845	SPOT1	24	d34/
2020_02_12__10_44_10h__channel00.tif	bf4845	SPOT1	25	d35/
2020_02_13__11_14_47h__channel00.tif	bf4845	SPOT1	26	d36/
2020_02_15__18_27_59h__channel00.tif	bf4845	SPOT1	27	d38/
2020_02_16__16_33_38h__channel00.tif	bf4845	SPOT1	28	d39/
2020_02_17__15_05_20h__channel00.tif	bf4845	SPOT1	29	d40/
2020_02_18__10_43_15h__channel00.tif	bf4845	SPOT1	30	d41/
2020_02_19__11_54_34h__channel00.tif	bf4845	SPOT1	31	d42/
2020_02_20__10_57_49h__channel00.tif	bf4845	SPOT1	32	d43/
2020_02_21__10_41_18h__channel00.tif	bf4845	SPOT1	33	d44/
2020_02_23__14_12_44h__channel00.tif	bf4845	SPOT1	34	d46/
2020_02_25__10_38_58h__channel00.tif	bf4845	SPOT1	35	d48/
2020_02_17__15_38_55h__channel00.tif	bf4845	SPOT11	1	d40/
2020_02_18__10_49_04h__channel00.tif	bf4845	SPOT11	2	d41/
2020_02_19__12_00_31h__channel00.tif	bf4845	SPOT11	3	d42/
2020_02_19__12_33_45h__channel00.tif	bf4845	SPOT11	4	d42/
2020_02_20__11_35_13h__channel00.tif	bf4845	SPOT11	5	d43/
2020_02_21__10_47_03h__channel00.tif	bf4845	SPOT11	6	d44/
2020_02_23__14_18_43h__channel00.tif	bf4845	SPOT11	7	d46/
2020_02_25__10_44_41h__channel00.tif	bf4845	SPOT11	8	d48/
2020_01_14__11_25_19h__channel00.tif	bf4845	SPOT2	1	d6/
2020_01_15__10_54_55h__channel00.tif	bf4845	SPOT2	2	d7/
2020_01_18__12_23_03h__channel00.tif	bf4845	SPOT2	3	d10/
2020_01_19__16_16_09h__channel00.tif	bf4845	SPOT2	4	d11/
2020_01_20__11_23_48h__channel00.tif	bf4845	SPOT2	5	d12/
2020_01_21__10_35_11h__channel00.tif	bf4845	SPOT2	6	d13/
2020_01_22__09_48_11h__channel00.tif	bf4845	SPOT2	7	d14/
2020_01_23__10_09_16h__channel00.tif	bf4845	SPOT2	8	d15/
2020_01_24__09_55_17h__channel00.tif	bf4845	SPOT2	9	d16/
