ImageName	MouseID	SpotID	TimePoint	DayAfterInduction
2019_05_04__15_28_42h__channel00.tif	bf3419	SPOT1	1	d11/
2019_05_05__20_16_56h__channel00.tif	bf3419	SPOT1	2	d12/
2019_05_06__18_28_49h__channel00.tif	bf3419	SPOT1	3	d13/
2019_05_07__20_34_26h__channel00.tif	bf3419	SPOT1	4	d14/
2019_05_08__20_26_36h__channel00.tif	bf3419	SPOT1	5	d15/
2019_05_09__17_15_57h__channel00.tif	bf3419	SPOT1	6	d16/
2019_05_10__18_03_59h__channel00.tif	bf3419	SPOT1	7	d17/
2019_05_11__16_24_50h__channel00.tif	bf3419	SPOT1	8	d18/
2019_05_12__16_10_07h__channel00.tif	bf3419	SPOT1	9	d19/
2019_05_13__18_27_23h__channel00.tif	bf3419	SPOT1	10	d20/
2019_05_14__16_28_17h__channel00.tif	bf3419	SPOT1	11	d21/
2019_05_15__19_01_04h__channel00.tif	bf3419	SPOT1	12	d22/
2019_05_16__11_38_27h__channel00.tif	bf3419	SPOT1	13	d23/
2019_05_17__16_59_13h__channel00.tif	bf3419	SPOT1	14	d24/
2019_05_18__18_16_05h__channel00.tif	bf3419	SPOT1	15	d25/
2019_05_19__17_03_32h__channel00.tif	bf3419	SPOT1	16	d26/
2019_05_20__14_38_45h__channel00.tif	bf3419	SPOT1	17	d27/
2019_05_21__18_19_55h__channel00.tif	bf3419	SPOT1	18	d28/
2019_05_22__18_00_48h__channel00.tif	bf3419	SPOT1	19	d29/
2019_05_23__17_27_43h__channel00.tif	bf3419	SPOT1	20	d30/
2019_05_24__18_39_18h__channel00.tif	bf3419	SPOT1	21	d31/
2019_05_25__16_52_55h__channel00.tif	bf3419	SPOT1	22	d32/
2019_05_26__15_07_50h__channel00.tif	bf3419	SPOT1	23	d33/
2019_05_27__15_46_56h__channel00.tif	bf3419	SPOT1	24	d34/
2019_05_29__10_46_29h__channel00.tif	bf3419	SPOT1	25	d36/
2019_05_30__13_01_24h__channel00.tif	bf3419	SPOT1	26	d37/
2019_05_31__12_19_23h__channel00.tif	bf3419	SPOT1	27	d38/
2019_06_01__13_30_08h__channel00.tif	bf3419	SPOT1	28	d39/
2019_06_02__13_16_33h__channel00.tif	bf3419	SPOT1	29	d40/
2019_06_03__13_05_18h__channel00.tif	bf3419	SPOT1	30	d41/
2019_06_04__12_16_11h__channel00.tif	bf3419	SPOT1	31	d42/
2019_06_05__13_01_12h__channel00.tif	bf3419	SPOT1	32	d43/
2019_06_06__14_46_43h__channel00.tif	bf3419	SPOT1	33	d44/
2019_06_07__12_32_49h__channel00.tif	bf3419	SPOT1	34	d45/
2019_06_08__13_52_05h__channel00.tif	bf3419	SPOT1	35	d46/
2019_06_09__12_11_27h__channel00.tif	bf3419	SPOT1	36	d47/
2019_06_10__13_43_09h__channel00.tif	bf3419	SPOT1	37	d48/
2019_06_11__12_02_12h__channel00.tif	bf3419	SPOT1	38	d49/
2019_06_12__11_28_30h__channel00.tif	bf3419	SPOT1	39	d50/
2019_06_13__15_24_57h__channel00.tif	bf3419	SPOT1	40	d51/
2019_06_14__15_37_16h__channel00.tif	bf3419	SPOT1	41	d52/
2019_06_15__14_19_16h__channel00.tif	bf3419	SPOT1	42	d53/
2019_06_16__12_41_19h__channel00.tif	bf3419	SPOT1	43	d54/
2019_06_17__14_50_45h__channel00.tif	bf3419	SPOT1	44	d55/
2019_06_18__14_04_00h__channel00.tif	bf3419	SPOT1	45	d56/
2019_06_19__15_07_27h__channel00.tif	bf3419	SPOT1	46	d57/
2019_06_20__16_07_08h__channel00.tif	bf3419	SPOT1	47	d58/
2019_06_21__13_56_43h__channel00.tif	bf3419	SPOT1	48	d59/
2019_06_22__13_18_59h__channel00.tif	bf3419	SPOT1	49	d60/
2019_06_23__12_06_14h__channel00.tif	bf3419	SPOT1	50	d61/
2019_06_24__19_46_35h__channel00.tif	bf3419	SPOT1	51	d62/
2019_06_25__19_11_43h__channel00.tif	bf3419	SPOT1	52	d63/
2019_06_26__18_28_46h__channel00.tif	bf3419	SPOT1	53	d64/
2019_06_27__14_19_33h__channel00.tif	bf3419	SPOT1	54	d65/
2019_06_28__15_59_36h__channel00.tif	bf3419	SPOT1	55	d66/
2019_06_29__14_41_18h__channel00.tif	bf3419	SPOT1	56	d67/
2019_06_30__14_38_53h__channel00.tif	bf3419	SPOT1	57	d68/
2019_07_01__12_22_06h__channel00.tif	bf3419	SPOT1	58	d69/
2019_07_02__14_50_09h__channel00.tif	bf3419	SPOT1	59	d70/
2019_07_03__11_44_30h__channel00.tif	bf3419	SPOT1	60	d71/
2019_07_04__11_44_24h__channel00.tif	bf3419	SPOT1	61	d72/
2019_07_05__12_02_50h__channel00.tif	bf3419	SPOT1	62	d73/
2019_07_06__14_36_31h__channel00.tif	bf3419	SPOT1	63	d74/
2019_07_07__13_13_59h__channel00.tif	bf3419	SPOT1	64	d75/
2019_07_08__15_29_54h__channel00.tif	bf3419	SPOT1	65	d76/
2019_07_09__11_10_22h__channel00.tif	bf3419	SPOT1	66	d77/
2019_07_10__06_27_37h__channel00.tif	bf3419	SPOT1	67	d78/
2019_07_11__11_10_30h__channel00.tif	bf3419	SPOT1	68	d79/
2019_07_12__14_44_07h__channel00.tif	bf3419	SPOT1	69	d80/
2019_07_13__22_19_07h__channel00.tif	bf3419	SPOT1	70	d81/
2019_07_16__10_42_04h__channel00.tif	bf3419	SPOT1	71	d84/
2019_07_17__11_57_58h__channel00.tif	bf3419	SPOT1	72	d85/
2019_07_18__11_50_33h__channel00.tif	bf3419	SPOT1	73	d86/
2019_07_19__12_48_06h__channel00.tif	bf3419	SPOT1	74	d87/
2019_07_20__13_48_31h__channel00.tif	bf3419	SPOT1	75	d88/
2019_07_21__12_23_39h__channel00.tif	bf3419	SPOT1	76	d89/
2019_07_22__09_26_33h__channel00.tif	bf3419	SPOT1	77	d90/
2019_07_23__09_40_39h__channel00.tif	bf3419	SPOT1	78	d91/
2019_07_24__12_01_40h__channel00.tif	bf3419	SPOT1	79	d92/
2019_07_26__12_06_45h__channel00.tif	bf3419	SPOT1	80	d94/
2019_07_27__12_32_37h__channel00.tif	bf3419	SPOT1	81	d95/
2019_07_28__12_33_15h__channel00.tif	bf3419	SPOT1	82	d96/
2019_07_29__09_57_47h__channel00.tif	bf3419	SPOT1	83	d97/
2019_07_30__09_25_50h__channel00.tif	bf3419	SPOT1	84	d98/
2019_07_31__09_23_22h__channel00.tif	bf3419	SPOT1	85	d99/
2019_08_01__12_30_06h__channel00.tif	bf3419	SPOT1	86	d100/
2019_08_02__16_28_54h__channel00.tif	bf3419	SPOT1	87	d101/
2019_08_03__15_27_29h__channel00.tif	bf3419	SPOT1	88	d102/
2019_08_04__11_47_47h__channel00.tif	bf3419	SPOT1	89	d103/
2019_08_05__10_46_27h__channel00.tif	bf3419	SPOT1	90	d104/
2019_08_06__10_30_05h__channel00.tif	bf3419	SPOT1	91	d105/
2019_08_08__07_34_31h__channel00.tif	bf3419	SPOT1	92	d107/
2019_05_03__17_42_12h__channel00.tif	bf3419	SPOT10	1	d10/
2019_05_04__15_14_20h__channel00.tif	bf3419	SPOT10	2	d11/
2019_05_05__20_07_57h__channel00.tif	bf3419	SPOT10	3	d12/
2019_05_06__18_19_50h__channel00.tif	bf3419	SPOT10	4	d13/
2019_05_07__19_35_47h__channel00.tif	bf3419	SPOT10	5	d14/
2019_05_08__19_32_10h__channel00.tif	bf3419	SPOT10	6	d15/
2019_05_09__16_21_52h__channel00.tif	bf3419	SPOT10	7	d16/
2019_05_10__16_58_28h__channel00.tif	bf3419	SPOT10	8	d17/
2019_05_11__15_21_49h__channel00.tif	bf3419	SPOT10	9	d18/
2019_05_12__15_05_00h__channel00.tif	bf3419	SPOT10	10	d19/
2019_05_13__17_25_35h__channel00.tif	bf3419	SPOT10	11	d20/
2019_05_14__15_29_22h__channel00.tif	bf3419	SPOT10	12	d21/
2019_05_15__18_06_08h__channel00.tif	bf3419	SPOT10	13	d22/
2019_05_16__10_33_14h__channel00.tif	bf3419	SPOT10	14	d23/
2019_05_17__15_55_16h__channel00.tif	bf3419	SPOT10	15	d24/
2019_05_18__17_11_55h__channel00.tif	bf3419	SPOT10	16	d25/
2019_05_19__15_59_11h__channel00.tif	bf3419	SPOT10	17	d26/
2019_05_20__13_34_35h__channel00.tif	bf3419	SPOT10	18	d27/
2019_05_21__17_09_55h__channel00.tif	bf3419	SPOT10	19	d28/
2019_05_22__17_01_17h__channel00.tif	bf3419	SPOT10	20	d29/
2019_05_23__16_29_33h__channel00.tif	bf3419	SPOT10	21	d30/
2019_05_24__17_43_37h__channel00.tif	bf3419	SPOT10	22	d31/
2019_05_25__15_52_03h__channel00.tif	bf3419	SPOT10	23	d32/
2019_05_26__14_14_22h__channel00.tif	bf3419	SPOT10	24	d33/
2019_05_27__14_54_19h__channel00.tif	bf3419	SPOT10	25	d34/
2019_05_29__09_48_43h__channel00.tif	bf3419	SPOT10	26	d36/
2019_05_30__12_07_42h__channel00.tif	bf3419	SPOT10	27	d37/
2019_05_31__11_25_12h__channel00.tif	bf3419	SPOT10	28	d38/
2019_06_03__12_06_52h__channel00.tif	bf3419	SPOT10	29	d41/
2019_06_04__11_22_31h__channel00.tif	bf3419	SPOT10	30	d42/
2019_06_05__12_06_35h__channel00.tif	bf3419	SPOT10	31	d43/
2019_06_06__13_50_55h__channel00.tif	bf3419	SPOT10	32	d44/
2019_06_07__11_38_00h__channel00.tif	bf3419	SPOT10	33	d45/
2019_06_08__12_58_00h__channel00.tif	bf3419	SPOT10	34	d46/
2019_06_09__11_15_21h__channel00.tif	bf3419	SPOT10	35	d47/
2019_06_10__12_43_34h__channel00.tif	bf3419	SPOT10	36	d48/
2019_06_11__11_02_57h__channel00.tif	bf3419	SPOT10	37	d49/
2019_06_12__10_30_55h__channel00.tif	bf3419	SPOT10	38	d50/
2019_06_13__14_30_18h__channel00.tif	bf3419	SPOT10	39	d51/
2019_06_14__14_37_08h__channel00.tif	bf3419	SPOT10	40	d52/
2019_06_15__13_25_43h__channel00.tif	bf3419	SPOT10	41	d53/
2019_06_16__11_47_32h__channel00.tif	bf3419	SPOT10	42	d54/
2019_06_17__14_02_36h__channel00.tif	bf3419	SPOT10	43	d55/
2019_06_18__14_11_31h__channel00.tif	bf3419	SPOT10	44	d56/
2019_06_19__14_17_33h__channel00.tif	bf3419	SPOT10	45	d57/
2019_06_20__15_17_01h__channel00.tif	bf3419	SPOT10	46	d58/
2019_06_21__13_11_03h__channel00.tif	bf3419	SPOT10	47	d59/
2019_06_22__12_30_03h__channel00.tif	bf3419	SPOT10	48	d60/
2019_06_23__11_05_16h__channel00.tif	bf3419	SPOT10	49	d61/
2019_06_24__19_01_11h__channel00.tif	bf3419	SPOT10	50	d62/
2019_06_25__18_21_10h__channel00.tif	bf3419	SPOT10	51	d63/
2019_06_26__17_49_51h__channel00.tif	bf3419	SPOT10	52	d64/
2019_06_27__13_36_45h__channel00.tif	bf3419	SPOT10	53	d65/
2019_06_28__15_17_05h__channel00.tif	bf3419	SPOT10	54	d66/
2019_06_29__14_01_26h__channel00.tif	bf3419	SPOT10	55	d67/
2019_06_30__13_56_06h__channel00.tif	bf3419	SPOT10	56	d68/
2019_07_01__11_44_28h__channel00.tif	bf3419	SPOT10	57	d69/
2019_07_02__14_12_30h__channel00.tif	bf3419	SPOT10	58	d70/
2019_07_03__11_05_24h__channel00.tif	bf3419	SPOT10	59	d71/
2019_07_04__11_05_16h__channel00.tif	bf3419	SPOT10	60	d72/
2019_07_05__11_25_05h__channel00.tif	bf3419	SPOT10	61	d73/
2019_07_06__13_47_43h__channel00.tif	bf3419	SPOT10	62	d74/
