ImageName	MouseID	SpotID	TimePoint	DayAfterInduction
2019_06_05__15_16_12h__channel00.tif	bf2983	SPOT1	1	d5/
2019_06_06__16_02_13h__channel00.tif	bf2983	SPOT1	2	d6/
2019_06_07__13_52_28h__channel00.tif	bf2983	SPOT1	3	d7/
2019_06_08__15_42_32h__channel00.tif	bf2983	SPOT1	4	d8/
2019_06_09__14_15_51h__channel00.tif	bf2983	SPOT1	5	d9/
2019_06_10__15_49_56h__channel00.tif	bf2983	SPOT1	6	d10/
2019_06_11__13_57_07h__channel00.tif	bf2983	SPOT1	7	d11/
2019_06_12__12_56_12h__channel00.tif	bf2983	SPOT1	8	d12/
2019_06_13__16_47_46h__channel00.tif	bf2983	SPOT1	9	d13/
2019_06_14__17_19_46h__channel00.tif	bf2983	SPOT1	10	d14/
2019_06_15__16_21_28h__channel00.tif	bf2983	SPOT1	11	d15/
2019_06_16__14_49_30h__channel00.tif	bf2983	SPOT1	12	d16/
2019_06_17__16_10_20h__channel00.tif	bf2983	SPOT1	13	d17/
2019_06_18__16_19_18h__channel00.tif	bf2983	SPOT1	14	d18/
2019_06_19__16_15_28h__channel00.tif	bf2983	SPOT1	15	d19/
2019_06_20__18_55_50h__channel00.tif	bf2983	SPOT1	16	d20/
2019_06_21__14_56_56h__channel00.tif	bf2983	SPOT1	17	d21/
2019_06_22__14_23_20h__channel00.tif	bf2983	SPOT1	18	d22/
2019_06_23__13_10_08h__channel00.tif	bf2983	SPOT1	19	d23/
2019_06_24__20_47_35h__channel00.tif	bf2983	SPOT1	20	d24/
2019_06_25__19_24_57h__channel00.tif	bf2983	SPOT1	21	d25/
2019_06_26__20_13_01h__channel00.tif	bf2983	SPOT1	22	d26/
2019_06_27__15_25_59h__channel00.tif	bf2983	SPOT1	23	d27/
2019_06_28__17_00_19h__channel00.tif	bf2983	SPOT1	24	d28/
2019_06_29__15_40_11h__channel00.tif	bf2983	SPOT1	25	d29/
2019_06_30__15_35_45h__channel00.tif	bf2983	SPOT1	26	d30/
2019_07_01__14_31_58h__channel00.tif	bf2983	SPOT1	27	d31/
2019_07_02__15_58_33h__channel00.tif	bf2983	SPOT1	28	d32/
2019_07_03__14_12_29h__channel00.tif	bf2983	SPOT1	29	d33/
2019_07_04__15_49_36h__channel00.tif	bf2983	SPOT1	30	d34/
2019_07_05__14_15_10h__channel00.tif	bf2983	SPOT1	31	d35/
2019_07_06__15_58_14h__channel00.tif	bf2983	SPOT1	32	d36/
2019_07_07__14_11_30h__channel00.tif	bf2983	SPOT1	33	d37/
2019_07_08__16_29_22h__channel00.tif	bf2983	SPOT1	34	d38/
2019_07_09__12_16_24h__channel00.tif	bf2983	SPOT1	35	d39/
2019_07_10__07_18_52h__channel00.tif	bf2983	SPOT1	36	d40/
2019_07_11__15_22_29h__channel00.tif	bf2983	SPOT1	37	d41/
2019_07_12__10_54_56h__channel00.tif	bf2983	SPOT1	38	d42/
2019_07_13__23_38_46h__channel00.tif	bf2983	SPOT1	39	d43/
