 	Label	X	Y	Slice	Frame
1	Image5D_bf2985_SPOT4.tif:1-1_1_1_NA_1_1_NA_1:16	160.667	156.000	16	1
2	Image5D_bf2985_SPOT4.tif:1-1_1_2_NA_1_1_NA_1:39	162.000	154.667	12	2
3	Image5D_bf2985_SPOT4.tif:1-1_1_3_NA_1_1_NA_1:67	168.667	153.333	13	3
4	Image5D_bf2985_SPOT4.tif:1-1_1_4_NA_1_1_NA_1:98	157.333	152.000	17	4
5	Image5D_bf2985_SPOT4.tif:1-1_1_5_NA_1_1_NA_1:122	155.333	140.667	14	5
6	Image5D_bf2985_SPOT4.tif:1-1_1_6_NA_1_1_NA_1:148	164.000	145.333	13	6
7	Image5D_bf2985_SPOT4.tif:1-1_1_7_NA_1_1_NA_1:176	168.667	143.333	14	7
8	Image5D_bf2985_SPOT4.tif:1-1_1_8_NA_1_1_NA_1:202	166.000	136.000	13	8
9	Image5D_bf2985_SPOT4.tif:1-1_1_9_NA_1_1_NA_1:230	155.333	146.667	14	9
10	Image5D_bf2985_SPOT4.tif:1-1_1_10_NA_1_1_NA_1:259	164.667	142.667	16	10
11	Image5D_bf2985_SPOT4.tif:1-1_1_11_NA_1_1_NA_1:286	158.667	138.000	16	11
12	Image5D_bf2985_SPOT4.tif:1-1_1_12_NA_1_1_NA_1:310	164.000	129.333	13	12
13	Image5D_bf2985_SPOT4.tif:1-1_1_13_NA_1_1_NA_1:340	134.000	130.000	16	13
14	Image5D_bf2985_SPOT4.tif:1-1_1_14_NA_1_1_NA_1:365	158.000	141.333	14	14
15	Image5D_bf2985_SPOT4.tif:1-1_1_15_NA_1_1_NA_1:393	150.000	148.000	15	15
16	Image5D_bf2985_SPOT4.tif:1-1_1_16_NA_1_1_NA_1:419	147.333	142.000	14	16
17	Image5D_bf2985_SPOT4.tif:1-1_1_17_NA_1_1_NA_1:447	144.667	141.333	15	17
18	Image5D_bf2985_SPOT4.tif:1-1_1_18_NA_1_1_NA_1:474	142.667	142.000	15	18
19	Image5D_bf2985_SPOT4.tif:1-1_1_19_NA_1_1_NA_1:502	151.333	139.333	16	19
20	Image5D_bf2985_SPOT4.tif:1-1_1_20_NA_1_1_NA_1:527	152.667	144.667	14	20
21	Image5D_bf2985_SPOT4.tif:1-1_1_21_NA_1_1_NA_1:554	144.667	146.667	14	21
22	Image5D_bf2985_SPOT4.tif:1-1_1_22_NA_1_1_NA_1:579	125.333	143.333	12	22
23	Image5D_bf2985_SPOT4.tif:1-1_1_23_NA_1_1_NA_1:605	216.000	154.667	11	23
24	Image5D_bf2985_SPOT4.tif:1-1_1_24_NA_1_1_NA_1:634	211.333	147.333	13	24
25	Image5D_bf2985_SPOT4.tif:1-1_1_25_NA_1_1_NA_1:664	221.333	138.667	16	25
26	Image5D_bf2985_SPOT4.tif:1-1_1_26_NA_1_1_NA_1:686	224.000	150.667	11	26
27	Image5D_bf2985_SPOT4.tif:2-1_1_27_1-1_1_1_2-2_1:715	239.333	154.667	13	27
28	Image5D_bf2985_SPOT4.tif:2-2_3_27_1-1_1_1_2-1_1:715	230.667	147.333	13	27
29	Image5D_bf2985_SPOT4.tif:2-1_1_28_1-1_1_1_2-2_1:741	222.667	161.333	12	28
30	Image5D_bf2985_SPOT4.tif:2-2_3_28_1-1_1_1_2-1_1:741	214.000	154.667	12	28
31	Image5D_bf2985_SPOT4.tif:2-1_1_29_1-1_1_1_2-2_1:766	232.000	146.000	10	29
32	Image5D_bf2985_SPOT4.tif:2-2_3_29_1-1_1_1_2-1_1:766	227.333	140.000	10	29
33	Image5D_bf2985_SPOT4.tif:2-1_1_30_1-1_1_1_2-2_1:795	264.000	137.333	12	30
34	Image5D_bf2985_SPOT4.tif:2-2_3_30_1-1_1_1_2-1_1:795	254.667	129.333	12	30
