 	Label	X	Y	Slice	Frame
1	Image5D_bf2981_SPOT3.tif:1-1_1_0_NA_0_1_NA_1:17	212.667	323.333	17	1
2	Image5D_bf2981_SPOT3.tif:2-1_1_1_1-1_1_0-5_2-2_0-5:17	239.333	320.000	17	1
3	Image5D_bf2981_SPOT3.tif:2-2_2_1_1-1_1_0-5_2-1_0-5:17	246.000	305.333	17	1
4	Image5D_bf2981_SPOT3.tif:2-1_1_2_1-1_1_0-5_2-2_0-5:42	250.667	177.333	17	2
5	Image5D_bf2981_SPOT3.tif:3-1_2_2_2-2_0-5_1_3-2_1:42	253.333	164.000	17	2
6	Image5D_bf2981_SPOT3.tif:3-2_2_2_2-2_1_1_3-1_1:42	246.667	146.000	17	2
7	Image5D_bf2981_SPOT3.tif:2-1_1_3_1-1_1_0-5_2-2_0-5:67	264.000	162.667	17	3
8	Image5D_bf2981_SPOT3.tif:3-1_2_3_2-2_0-5_1_3-2_1:67	268.667	149.333	17	3
9	Image5D_bf2981_SPOT3.tif:3-2_2_3_2-2_1_1_3-1_1:67	260.000	134.667	17	3
10	Image5D_bf2981_SPOT3.tif:2-1_1_4_1-1_1_0-5_2-2_0-5:90	270.667	168.000	15	4
11	Image5D_bf2981_SPOT3.tif:3-1_2_4_2-2_0-5_1_3-2_1:90	267.333	151.333	15	4
12	Image5D_bf2981_SPOT3.tif:3-2_2_4_2-2_1_1_3-1_1:90	269.333	131.333	15	4
13	Image5D_bf2981_SPOT3.tif:2-1_1_5_1-1_1_0-5_2-2_0-5:116	303.333	167.333	16	5
14	Image5D_bf2981_SPOT3.tif:3-1_2_5_2-2_0-5_1_3-2_1:116	303.333	152.667	16	5
15	Image5D_bf2981_SPOT3.tif:3-2_2_5_2-2_1_1_3-1_1:116	298.667	134.000	16	5
16	Image5D_bf2981_SPOT3.tif:2-1_1_6_1-1_1_0-5_2-2_0-5:141	299.333	166.667	16	6
17	Image5D_bf2981_SPOT3.tif:3-1_2_6_2-2_0-5_1_3-2_1:141	302.000	152.667	16	6
18	Image5D_bf2981_SPOT3.tif:3-2_2_6_2-2_1_1_3-1_1:141	302.000	136.000	16	6
19	Image5D_bf2981_SPOT3.tif:2-1_1_7_1-1_1_0-5_2-2_0-5:164	334.667	162.667	14	7
20	Image5D_bf2981_SPOT3.tif:3-1_2_7_2-2_0-5_1_3-2_1:164	336.667	150.667	14	7
21	Image5D_bf2981_SPOT3.tif:3-2_2_7_2-2_1_1_3-1_1:164	340.667	131.333	14	7
22	Image5D_bf2981_SPOT3.tif:2-1_1_8_1-1_1_0-5_2-2_0-5:191	302.667	171.333	16	8
23	Image5D_bf2981_SPOT3.tif:3-1_2_8_2-2_0-5_1_3-2_1:191	301.333	156.667	16	8
24	Image5D_bf2981_SPOT3.tif:4-1_3_8_3-2_1_1_4-2_1:191	322.000	136.000	16	8
25	Image5D_bf2981_SPOT3.tif:4-2_3_8_3-2_1_1_4-1_1:191	296.667	140.000	16	8
26	Image5D_bf2981_SPOT3.tif:2-1_1_9_1-1_1_0-5_2-2_0-5:218	294.667	177.333	18	9
27	Image5D_bf2981_SPOT3.tif:3-1_2_9_2-2_0-5_1_3-2_1:218	297.333	162.667	18	9
28	Image5D_bf2981_SPOT3.tif:4-1_3_9_3-2_1_1_4-2_1:218	318.000	140.000	18	9
29	Image5D_bf2981_SPOT3.tif:4-2_3_9_3-2_1_1_4-1_1:218	293.333	144.000	18	9
30	Image5D_bf2981_SPOT3.tif:2-1_1_10_1-1_1_0-5_2-2_0-5:241	297.333	178.000	16	10
31	Image5D_bf2981_SPOT3.tif:3-1_2_10_2-2_0-5_1_3-2_1:241	302.000	160.667	16	10
32	Image5D_bf2981_SPOT3.tif:4-1_3_10_3-2_1_1_4-2_1:241	315.333	144.667	16	10
33	Image5D_bf2981_SPOT3.tif:4-2_3_10_3-2_1_1_4-1_1:241	294.000	144.000	16	10
34	Image5D_bf2981_SPOT3.tif:2-1_1_11_1-1_1_0-5_2-2_0-5:267	302.000	159.333	17	11
35	Image5D_bf2981_SPOT3.tif:3-1_2_11_2-2_0-5_1_3-2_1:267	305.333	138.000	17	11
36	Image5D_bf2981_SPOT3.tif:4-1_3_11_3-2_1_1_4-2_1:267	326.000	121.333	17	11
37	Image5D_bf2981_SPOT3.tif:4-2_3_11_3-2_1_1_4-1_1:267	306.667	122.667	17	11
38	Image5D_bf2981_SPOT3.tif:2-1_1_12_1-1_1_0-5_2-2_0-5:292	309.333	168.000	17	12
39	Image5D_bf2981_SPOT3.tif:3-1_2_12_2-2_0-5_1_3-2_1:292	312.667	151.333	17	12
40	Image5D_bf2981_SPOT3.tif:4-1_3_12_3-2_1_1_4-2_1:292	330.667	134.667	17	12
41	Image5D_bf2981_SPOT3.tif:4-2_3_12_3-2_1_1_4-1_1:292	311.333	135.333	17	12
42	Image5D_bf2981_SPOT3.tif:2-1_1_13_1-1_1_0-5_2-2_0-5:314	316.667	166.000	14	13
43	Image5D_bf2981_SPOT3.tif:3-1_2_13_2-2_0-5_1_3-2_1:314	322.000	148.667	14	13
44	Image5D_bf2981_SPOT3.tif:4-1_3_13_3-2_1_1_4-2_1:314	342.000	129.333	14	13
45	Image5D_bf2981_SPOT3.tif:4-2_3_13_3-2_1_1_4-1_1:314	318.000	132.000	14	13
46	Image5D_bf2981_SPOT3.tif:2-1_1_14_1-1_1_0-5_2-2_0-5:340	313.333	161.333	15	14
