 	Label	X	Y	Slice	Frame
1	Image5D_bf2985_SPOT14.tif:1-1_1_1_NA_1_1_NA_1:10	400.667	410.000	10	1
2	Image5D_bf2985_SPOT14.tif:1-1_1_2_NA_1_1_NA_1:33	405.333	410.667	10	2
3	Image5D_bf2985_SPOT14.tif:1-1_1_3_NA_1_1_NA_1:56	406.000	405.333	10	3
4	Image5D_bf2985_SPOT14.tif:1-1_1_4_NA_1_1_NA_1:83	407.333	405.333	14	4
5	Image5D_bf2985_SPOT14.tif:1-1_1_5_NA_1_1_NA_1:105	395.333	410.000	13	5
6	Image5D_bf2985_SPOT14.tif:1-1_1_6_NA_1_1_NA_1:123	371.333	412.667	8	6
7	Image5D_bf2985_SPOT14.tif:1-1_1_7_NA_1_1_NA_1:148	383.333	408.667	10	7
8	Image5D_bf2985_SPOT14.tif:1-1_1_8_NA_1_1_NA_1:168	384.667	402.000	7	8
9	Image5D_bf2985_SPOT14.tif:1-1_1_9_NA_1_1_NA_1:193	411.333	390.000	9	9
10	Image5D_bf2985_SPOT14.tif:1-1_1_10_NA_1_1_NA_1:216	425.333	400.000	9	10
11	Image5D_bf2985_SPOT14.tif:1-1_1_11_NA_1_1_NA_1:238	412.667	404.000	8	11
12	Image5D_bf2985_SPOT14.tif:1-1_1_12_NA_1_1_NA_1:264	399.333	418.000	11	12
13	Image5D_bf2985_SPOT14.tif:1-1_1_13_NA_1_1_NA_1:286	402.000	412.000	10	13
14	Image5D_bf2985_SPOT14.tif:1-1_1_14_NA_1_1_NA_1:310	398.667	408.000	11	14
15	Image5D_bf2985_SPOT14.tif:1-1_1_15_NA_1_1_NA_1:333	400.667	421.333	11	15
16	Image5D_bf2985_SPOT14.tif:1-1_1_16_NA_1_1_NA_1:355	401.333	409.333	10	16
17	Image5D_bf2985_SPOT14.tif:1-1_1_17_NA_1_1_NA_1:378	407.333	411.333	10	17
18	Image5D_bf2985_SPOT14.tif:1-1_1_18_NA_1_1_NA_1:399	403.333	415.333	8	18
19	Image5D_bf2985_SPOT14.tif:1-1_1_19_NA_1_1_NA_1:423	400.667	418.667	9	19
20	Image5D_bf2985_SPOT14.tif:1-1_1_20_NA_1_1_NA_1:446	407.333	413.333	9	20
21	Image5D_bf2985_SPOT14.tif:1-1_1_21_NA_1_1_NA_1:469	412.000	411.333	9	21
22	Image5D_bf2985_SPOT14.tif:1-1_1_22_NA_1_1_NA_1:494	396.667	411.333	11	22
23	Image5D_bf2985_SPOT14.tif:1-1_1_23_NA_1_1_NA_1:517	408.667	420.000	11	23
24	Image5D_bf2985_SPOT14.tif:1-1_1_24_NA_1_1_NA_1:540	411.333	418.667	11	24
25	Image5D_bf2985_SPOT14.tif:1-1_1_25_NA_1_1_NA_1:563	402.667	414.667	11	25
26	Image5D_bf2985_SPOT14.tif:1-1_1_26_NA_1_1_NA_1:584	400.667	412.000	9	26
27	Image5D_bf2985_SPOT14.tif:1-1_1_27_NA_1_1_NA_1:607	401.333	422.000	9	27
28	Image5D_bf2985_SPOT14.tif:2-1_2_28_1-1_1_1_2-2_1:631	394.000	407.333	10	28
29	Image5D_bf2985_SPOT14.tif:2-2_2_28_1-1_1_1_2-1_1:631	405.333	418.000	10	28
30	Image5D_bf2985_SPOT14.tif:2-1_2_29_1-1_1_1_2-2_1:654	396.667	404.667	10	29
31	Image5D_bf2985_SPOT14.tif:2-2_2_29_1-1_1_1_2-1_1:654	411.333	413.333	10	29
32	Image5D_bf2985_SPOT14.tif:2-1_2_30_1-1_1_1_2-2_1:678	395.333	407.333	11	30
33	Image5D_bf2985_SPOT14.tif:3-1_2_30_2-2_1_1_3-2_1:678	407.333	421.333	11	30
34	Image5D_bf2985_SPOT14.tif:3-2_2_30_2-2_1_1_3-1_1:678	439.333	422.000	11	30
35	Image5D_bf2985_SPOT14.tif:2-1_2_31_1-1_1_1_2-2_1:703	392.667	402.667	13	31
36	Image5D_bf2985_SPOT14.tif:3-1_2_31_2-2_1_1_3-2_1:703	410.000	415.333	13	31
37	Image5D_bf2985_SPOT14.tif:4-1_2_31_3-2_1_1_4-2_1:705	442.000	411.333	15	31
38	Image5D_bf2985_SPOT14.tif:4-2_2_31_3-2_1_1_4-1_1:705	430.000	434.667	15	31
39	Image5D_bf2985_SPOT14.tif:2-1_2_32_1-1_1_1_2-2_1:723	400.667	407.333	10	32
40	Image5D_bf2985_SPOT14.tif:4-2_2_32_3-2_1_1_4-1_1:727	430.000	450.000	14	32
41	Image5D_bf2985_SPOT14.tif:4-3_3_32_3-1_1_1_4-4_1:723	413.333	418.667	10	32
42	Image5D_bf2985_SPOT14.tif:4-4_3_32_3-1_1_1_4-3_1:728	412.667	442.000	15	32
43	Image5D_bf2985_SPOT14.tif:5-1_3_32_4-1_1_1_5-2_1:728	448.000	424.667	15	32
44	Image5D_bf2985_SPOT14.tif:5-2_3_32_4-1_1_1_5-1_1:728	448.000	407.333	15	32
45	Image5D_bf2985_SPOT14.tif:2-1_2_33_1-1_1_1_2-2_1:749	392.000	405.333	13	33
46	Image5D_bf2985_SPOT14.tif:4-2_2_33_3-2_1_1_4-1_1:751	426.667	446.000	15	33
47	Image5D_bf2985_SPOT14.tif:4-3_3_33_3-1_1_1_4-4_1:751	408.000	420.667	15	33
48	Image5D_bf2985_SPOT14.tif:4-4_3_33_3-1_1_1_4-3_1:751	409.333	442.000	15	33
49	Image5D_bf2985_SPOT14.tif:5-1_3_33_4-1_1_1_5-2_1:751	454.000	486.667	15	33
50	Image5D_bf2985_SPOT14.tif:5-2_3_33_4-1_1_1_5-1_1:751	438.667	406.000	15	33
51	Image5D_bf2985_SPOT14.tif:3-3_2_34_2-1_1_1_3-4_1:768	382.667	395.333	9	34
52	Image5D_bf2985_SPOT14.tif:3-4_2_34_2-1_1_1_3-3_1:768	390.667	409.333	9	34
53	Image5D_bf2985_SPOT14.tif:4-2_2_34_3-2_1_1_4-1_1:772	420.667	445.333	13	34
54	Image5D_bf2985_SPOT14.tif:4-3_3_34_3-1_1_1_4-4_1:769	403.333	420.667	10	34
55	Image5D_bf2985_SPOT14.tif:4-4_3_34_3-1_1_1_4-3_1:771	405.333	424.667	12	34
56	Image5D_bf2985_SPOT14.tif:5-1_3_34_4-1_1_1_5-2_1:772	457.333	505.333	13	34
57	Image5D_bf2985_SPOT14.tif:5-2_3_34_4-1_1_1_5-1_1_0:772	440.667	388.667	13	34
58	Image5D_bf2985_SPOT14.tif:3-3_2_35_2-1_1_1_3-4_1:792	383.333	398.000	10	35
59	Image5D_bf2985_SPOT14.tif:3-4_2_35_2-1_1_1_3-3_1:792	391.333	410.000	10	35
60	Image5D_bf2985_SPOT14.tif:4-2_2_35_3-2_1_1_4-1_1:797	424.000	442.667	15	35
61	Image5D_bf2985_SPOT14.tif:4-3_3_35_3-1_1_1_4-4_1:796	402.000	423.333	14	35
62	Image5D_bf2985_SPOT14.tif:4-4_3_35_3-1_1_1_4-3_1:796	402.667	442.667	14	35
