 	Label	X	Y	Slice	Frame
1	Image5D_bf3419_SPOT14.tif:1-1_1_1_NA_NA_1_1_NA_1:11	404	37	11	1
2	Image5D_bf3419_SPOT14.tif:1-1_1_2_NA_NA_1_1_NA_1:31	394	42	11	2
3	Image5D_bf3419_SPOT14.tif:1-1_1_3_NA_NA_1_1_NA_1:51	373	34	11	3
4	Image5D_bf3419_SPOT14.tif:1-1_1_4_NA_NA_1_1_NA_1:72	396	36	12	4
5	Image5D_bf3419_SPOT14.tif:1-1_1_5_NA_NA_1_1_NA_1:92	421	53	12	5
6	Image5D_bf3419_SPOT14.tif:1-1_1_6_NA_NA_1_1_NA_1:112	442	40	12	6
7	Image5D_bf3419_SPOT14.tif:1-1_1_7_NA_NA_1_1_NA_1:132	427	39	12	7
8	Image5D_bf3419_SPOT14.tif:1-1_1_8_NA_NA_1_1_NA_1:151	425	35	11	8
9	Image5D_bf3419_SPOT14.tif:1-1_1_9_NA_NA_1_1_NA_1:172	448	56	12	9
10	Image5D_bf3419_SPOT14.tif:1-1_1_10_NA_NA_1_1_NA_1:192	435	36	12	10
11	Image5D_bf3419_SPOT14.tif:1-1_1_11_NA_NA_1_1_NA_1:213	417	40	13	11
12	Image5D_bf3419_SPOT14.tif:1-1_1_12_NA_NA_1_1_NA_1:232	389	44	12	12
13	Image5D_bf3419_SPOT14.tif:1-1_1_13_NA_NA_1_1_NA_1:251	427	46	11	13
14	Image5D_bf3419_SPOT14.tif:2-1_1_14_1-1_1_1_2-2_1:272	399	37	12	14
15	Image5D_bf3419_SPOT14.tif:2-2_2_14_1-1_1_1_2-1_1:272	403	50	12	14
16	Image5D_bf3419_SPOT14.tif:2-1_1_15_1-1_1_1_2-2_1:294	428	35	14	15
17	Image5D_bf3419_SPOT14.tif:2-1_1_15_1-1_1_1_2-2_1:294	430	49	14	15
18	Image5D_bf3419_SPOT14.tif:2-1_1_16_1-1_1_1_2-2_1:313	447	30	13	16
19	Image5D_bf3419_SPOT14.tif:3-1_2_16_2-2_1_0-5_3-2_1:313	452	41	13	16
20	Image5D_bf3419_SPOT14.tif:3-2_2_16_2-2_1_0-5_3-1_1:313	445	66	13	16
21	Image5D_bf3419_SPOT14.tif:2-1_1_17_1-1_1_1_2-2_1:333	425	42	13	17
22	Image5D_bf3419_SPOT14.tif:3-1_2_17_2-2_1_0-5_3-2_1:333	433	57	13	17
23	Image5D_bf3419_SPOT14.tif:4-1_2_17_3-2_1_0-5_4-2_1:333	402	85	13	17
24	Image5D_bf3419_SPOT14.tif:4-2_2_17_3-2_1_1_4-1_1:333	427	78	13	17
25	Image5D_bf3419_SPOT14.tif:2-1_1_18_1-1_1_1_2-2_1:352	424	32	12	18
26	Image5D_bf3419_SPOT14.tif:3-1_2_18_2-2_1_0-5_3-2_1:352	432	47	12	18
27	Image5D_bf3419_SPOT14.tif:4-1_2_18_3-2_1_0-5_4-2_1:352	408	71	12	18
28	Image5D_bf3419_SPOT14.tif:5-1_3_18_4-2_1_1_5-2_1:352	460	120	12	18
29	Image5D_bf3419_SPOT14.tif:5-2_3_18_4-2_1_1_5-1_1:352	463	91	12	18
30	Image5D_bf3419_SPOT14.tif:2-1_1_19_1-1_1_1_2-2_1:372	409	43	12	19
31	Image5D_bf3419_SPOT14.tif:3-1_2_19_2-2_1_0-5_3-2_1_0:372	420	53	12	19
32	Image5D_bf3419_SPOT14.tif:4-1_2_19_3-2_0-5_1_4-2_1:372	394	82	12	19
33	Image5D_bf3419_SPOT14.tif:5-1_3_19_4-2_1_1_5-2_1:372	417	172	12	19
34	Image5D_bf3419_SPOT14.tif:5-2_3_19_4-2_1_1_5-1_1:372	457	127	12	19
35	Image5D_bf3419_SPOT14.tif:2-1_1_20_1-1_1_1_2-2_1:394	390	38	14	20
36	Image5D_bf3419_SPOT14.tif:4-1_2_20_3-2_0-5_1_4-2_1:394	377	70	14	20
37	Image5D_bf3419_SPOT14.tif:5-1_3_20_4-2_1_1_5-2_1_0:394	416	133	14	20
38	Image5D_bf3419_SPOT14.tif:5-2_3_20_4-2_1_1_5-1_1:394	481	97	14	20
39	Image5D_bf3419_SPOT14.tif:2-1_1_21_1-1_1_1_2-2_1:414	437	38	14	21
40	Image5D_bf3419_SPOT14.tif:4-1_3_21_3-2_1_1_4-2_1:414	416	76	14	21
41	Image5D_bf3419_SPOT14.tif:5-2_3_21_4-2_1_1_5-1_1:414	496	88	14	21
42	Image5D_bf3419_SPOT14.tif:2-1_1_22_1-1_1_1_2-2_1:433	425	54	13	22
43	Image5D_bf3419_SPOT14.tif:4-1_3_22_3-2_1_1_4-2_1:433	327	120	13	22
44	Image5D_bf3419_SPOT14.tif:5-2_3_22_4-2_1_1_5-1_1:433	499	95	13	22
45	Image5D_bf3419_SPOT14.tif:2-1_1_23_1-1_1_1_2-2_1:453	414	50	13	23
46	Image5D_bf3419_SPOT14.tif:4-1_3_23_3-2_1_1_4-2_1:453	310	123	13	23
47	Image5D_bf3419_SPOT14.tif:5-2_3_23_4-2_1_1_5-1_1:453	497	104	13	23
48	Image5D_bf3419_SPOT14.tif:2-1_1_24_1-1_1_1_2-2_1:473	423	39	13	24
49	Image5D_bf3419_SPOT14.tif:4-1_3_24_3-2_1_1_4-2_1:473	325	109	13	24
50	Image5D_bf3419_SPOT14.tif:5-2_3_24_4-2_1_1_5-1_1:473	493	84	13	24
51	Image5D_bf3419_SPOT14.tif:2-1_1_25_1-1_1_1_2-2_1:493	436	52	13	25
52	Image5D_bf3419_SPOT14.tif:4-1_3_25_3-2_1_1_4-2_1:493	338	120	13	25
53	Image5D_bf3419_SPOT14.tif:5-2_3_25_4-2_1_1_5-1_1:493	488	77	13	25
54	Image5D_bf3419_SPOT14.tif:2-1_1_26_1-1_1_1_2-2_1:513	443	45	13	26
55	Image5D_bf3419_SPOT14.tif:4-1_3_26_3-2_1_1_4-2_1:512	348	114	12	26
56	Image5D_bf3419_SPOT14.tif:5-2_3_26_4-2_1_1_5-1_1:512	494	85	12	26
57	Image5D_bf3419_SPOT14.tif:2-1_1_27_1-1_1_1_2-2_1:533	435	45	13	27
58	Image5D_bf3419_SPOT14.tif:4-1_3_27_3-2_1_1_4-2_1:533	334	116	13	27
59	Image5D_bf3419_SPOT14.tif:5-2_3_27_4-2_1_1_5-1_1:533	495	70	13	27
60	Image5D_bf3419_SPOT14.tif:2-1_1_28_1-1_1_1_2-2_1:553	441	47	13	28
61	Image5D_bf3419_SPOT14.tif:4-1_3_28_3-2_1_1_4-2_1:551	344	111	11	28
62	Image5D_bf3419_SPOT14.tif:5-2_3_28_4-2_1_1_5-1_1:551	493	78	11	28
63	Image5D_bf3419_SPOT14.tif:2-1_1_29_1-1_1_1_2-2_1:572	428	53	12	29
64	Image5D_bf3419_SPOT14.tif:4-1_3_29_3-2_1_1_4-2_1:572	330	125	12	29
65	Image5D_bf3419_SPOT14.tif:5-2_3_29_4-2_1_1_5-1_1:572	481	86	12	29
66	Image5D_bf3419_SPOT14.tif:2-1_1_30_1-1_1_1_2-2_1:593	430	51	13	30
67	Image5D_bf3419_SPOT14.tif:4-1_3_30_3-2_1_1_4-2_1_0:593	337	119	13	30
68	Image5D_bf3419_SPOT14.tif:5-2_3_30_4-2_1_1_5-1_1:593	494	93	13	30
69	Image5D_bf3419_SPOT14.tif:2-1_1_31_1-1_1_1_2-2_1:613	428	50	13	31
70	Image5D_bf3419_SPOT14.tif:5-2_3_31_4-2_1_1_5-1_1:613	496	88	13	31
71	Image5D_bf3419_SPOT14.tif:2-1_1_32_1-1_1_1_2-2_1:633	439	55	13	32
72	Image5D_bf3419_SPOT14.tif:5-2_3_32_4-2_1_1_5-1_1:633	502	83	13	32
73	Image5D_bf3419_SPOT14.tif:2-1_1_33_1-1_1_1_2-2_1:653	443	59	13	33
74	Image5D_bf3419_SPOT14.tif:5-2_3_33_4-2_1_1_5-1_1:653	497	96	13	33
75	Image5D_bf3419_SPOT14.tif:2-1_1_34_1-1_1_1_2-2_1:672	369	60	12	34
76	Image5D_bf3419_SPOT14.tif:5-2_3_34_4-2_1_1_5-1_1:670	459	133	10	34
77	Image5D_bf3419_SPOT14.tif:2-1_1_35_1-1_1_1_2-2_1:691	453	81	11	35
78	Image5D_bf3419_SPOT14.tif:5-2_3_35_4-2_1_1_5-1_1:691	503	105	11	35
79	Image5D_bf3419_SPOT14.tif:3-3_1_36_2-1_1_1_3-4_1:713	437	95	13	36
80	Image5D_bf3419_SPOT14.tif:3-4_2_36_2-1_1_1_3-4_1:713	431	81	13	36
81	Image5D_bf3419_SPOT14.tif:5-2_3_36_4-2_1_1_5-1_1:713	500	132	13	36
82	Image5D_bf3419_SPOT14.tif:3-4_2_37_2-1_1_1_3-4_1:732	438	94	12	37
83	Image5D_bf3419_SPOT14.tif:4-3_2_37_3-3_1_1_4-4_1:732	440	108	12	37
