 	Label	X	Y	Slice	Frame
1	Image5D_bf2983_SPOT1.tif:1-1_1_1_NA_1_1_NA_1:12	238	101	12	1
2	Image5D_bf2983_SPOT1.tif:1-1_1_2_NA_1_1_NA_1:42	247	96	11	2
3	Image5D_bf2983_SPOT1.tif:1-1_1_3_NA_1_1_NA_1:69	256	12	7	3
4	Image5D_bf2983_SPOT1.tif:1-1_1_4_NA_1_1_NA_1:100	266	15	7	4
5	Image5D_bf2983_SPOT1.tif:1-1_1_5_NA_1_1_NA_1:129	267	19	5	5
6	Image5D_bf2983_SPOT1.tif:1-1_1_6_NA_1_1_NA_1:162	261	18	7	6
7	Image5D_bf2983_SPOT1.tif:2-1_1_7_1-1_1_1_2-2_1:191	263	20	5	7
8	Image5D_bf2983_SPOT1.tif:2-2_3_7_1-1_1_1_2-1_1:191	265	8	5	7
9	Image5D_bf2983_SPOT1.tif:2-1_1_8_1-1_1_1_2-2_1:224	268	15	7	8
10	Image5D_bf2983_SPOT1.tif:2-2_3_8_1-1_1_1_2-1_1:224	273	6	7	8
11	Image5D_bf2983_SPOT1.tif:2-1_1_9_1-1_1_1_2-2_1:255	263	27	7	9
12	Image5D_bf2983_SPOT1.tif:2-2_3_9_1-1_1_1_2-1_1:255	269	17	7	9
13	Image5D_bf2983_SPOT1.tif:2-1_1_10_1-1_1_1_2-2_1:284	265	23	5	10
14	Image5D_bf2983_SPOT1.tif:2-2_3_10_1-1_1_1_2-1_1:284	272	11	5	10
15	Image5D_bf2983_SPOT1.tif:2-2_3_11_1-1_1_1_2-1_1:320	263	21	10	11
16	Image5D_bf2983_SPOT1.tif:3-1_3_11_2-1_1_1_3-2_1:320	261	44	10	11
17	Image5D_bf2983_SPOT1.tif:3-2_1_11_2-1_0-5_1_3-1_1:320	257	35	10	11
18	Image5D_bf2983_SPOT1.tif:2-2_3_12_1-1_1_1_2-1_1:352	202	31	11	12
19	Image5D_bf2983_SPOT1.tif:3-1_3_12_2-1_1_1_3-2_1:352	200	55	11	12
20	Image5D_bf2983_SPOT1.tif:3-2_1_12_2-1_0-5_1_3-1_1:352	194	42	11	12
21	Image5D_bf2983_SPOT1.tif:2-2_3_13_1-1_1_1_2-1_1:382	212	29	10	13
22	Image5D_bf2983_SPOT1.tif:3-1_3_13_2-1_1_1_3-2_1:382	212	52	10	13
23	Image5D_bf2983_SPOT1.tif:3-2_1_13_2-1_0-5_1_3-1_1:382	208	41	10	13
24	Image5D_bf2983_SPOT1.tif:2-2_3_14_1-1_1_1_2-1_1:411	210	27	8	14
25	Image5D_bf2983_SPOT1.tif:3-1_3_14_2-1_1_1_3-2_1:411	204	53	8	14
26	Image5D_bf2983_SPOT1.tif:3-2_1_14_2-1_0-5_1_3-1_1:411	202	40	8	14
