 	Label	X	Y	Slice	Frame
1	Image5D_bf2981_SPOT10.tif:1-1_1_1_NA_1_1_NA_1:14	302.667	50.000	14	1
2	Image5D_bf2981_SPOT10.tif:1-1_1_2_NA_1_1_NA_1:39	295.333	49.333	15	2
3	Image5D_bf2981_SPOT10.tif:1-1_1_3_NA_1_1_NA_1:63	294.667	54.000	15	3
4	Image5D_bf2981_SPOT10.tif:1-1_1_4_NA_1_1_NA_1:87	287.333	72.667	15	4
5	Image5D_bf2981_SPOT10.tif:1-1_1_5_NA_1_1_NA_1:113	296.667	57.333	17	5
6	Image5D_bf2981_SPOT10.tif:1-1_1_6_NA_1_1_NA_1:137	264.667	76.000	17	6
7	Image5D_bf2981_SPOT10.tif:1-1_1_7_NA_1_1_NA_1:159	305.333	48.000	15	7
8	Image5D_bf2981_SPOT10.tif:1-1_1_8_NA_1_1_NA_1:183	298.000	55.333	15	8
9	Image5D_bf2981_SPOT10.tif:1-1_1_9_NA_1_1_NA_1:207	297.333	54.000	15	9
10	Image5D_bf2981_SPOT10.tif:1-1_1_10_NA_1_1_NA_1:231	302.000	63.333	15	10
11	Image5D_bf2981_SPOT10.tif:1-1_1_11_NA_1_1_NA_1:257	297.333	47.333	17	11
12	Image5D_bf2981_SPOT10.tif:1-1_1_12_NA_1_1_NA_1:281	296.667	42.667	17	12
13	Image5D_bf2981_SPOT10.tif:1-1_1_13_NA_1_1_NA_1:306	299.333	33.333	18	13
14	Image5D_bf2981_SPOT10.tif:1-1_1_14_NA_1_1_NA_1:329	300.667	36.667	17	14
15	Image5D_bf2981_SPOT10.tif:1-1_1_15_NA_1_1_NA_1:353	308.667	40.000	17	15
16	Image5D_bf2981_SPOT10.tif:1-1_1_16_NA_1_1_NA_1:377	296.000	41.333	17	16
17	Image5D_bf2981_SPOT10.tif:1-1_1_17_NA_1_1_NA_1:401	302.000	47.333	17	17
18	Image5D_bf2981_SPOT10.tif:1-1_1_18_NA_1_1_NA_1:425	300.667	33.333	17	18
19	Image5D_bf2981_SPOT10.tif:1-1_1_19_NA_1_1_NA_1:449	302.000	39.333	17	19
20	Image5D_bf2981_SPOT10.tif:1-1_1_20_NA_1_1_NA_1:473	306.000	48.000	17	20
21	Image5D_bf2981_SPOT10.tif:1-1_1_21_NA_1_1_NA_1:497	311.333	43.333	17	21
22	Image5D_bf2981_SPOT10.tif:1-1_1_22_NA_1_1_NA_1:524	294.667	28.000	20	22
23	Image5D_bf2981_SPOT10.tif:1-1_1_23_NA_1_1_NA_1:548	309.333	32.000	20	23
24	Image5D_bf2981_SPOT10.tif:1-1_1_24_NA_1_1_NA_1:573	314.000	26.000	21	24
25	Image5D_bf2981_SPOT10.tif:1-1_1_25_NA_1_1_NA_1:597	305.333	33.333	21	25
26	Image5D_bf2981_SPOT10.tif:1-1_1_26_NA_1_1_NA_1:616	305.333	36.667	16	26
27	Image5D_bf2981_SPOT10.tif:1-1_1_27_NA_1_1_NA_1:642	306.000	46.000	18	27
28	Image5D_bf2981_SPOT10.tif:1-1_1_28_NA_1_1_NA_1:666	302.667	49.333	18	28
29	Image5D_bf2981_SPOT10.tif:1-1_1_29_NA_1_1_NA_1:690	308.667	46.000	18	29
30	Image5D_bf2981_SPOT10.tif:1-1_1_30_NA_1_1_NA_1:714	306.667	38.667	18	30
31	Image5D_bf2981_SPOT10.tif:1-1_1_31_NA_1_1_NA_1:736	310.000	36.667	16	31
32	Image5D_bf2981_SPOT10.tif:1-1_1_32_NA_1_1_NA_1:760	307.333	45.333	16	32
33	Image5D_bf2981_SPOT10.tif:1-1_1_33_NA_1_1_NA_1:787	310.667	28.000	19	33
34	Image5D_bf2981_SPOT10.tif:1-1_1_34_NA_1_1_NA_1:809	311.333	36.667	17	34
35	Image5D_bf2981_SPOT10.tif:1-1_1_35_NA_1_1_NA_1:832	307.333	42.000	16	35
36	Image5D_bf2981_SPOT10.tif:1-1_1_36_NA_1_1_NA_1:859	307.333	34.667	19	36
37	Image5D_bf2981_SPOT10.tif:1-1_1_37_NA_1_1_NA_1:883	298.667	37.333	19	37
38	Image5D_bf2981_SPOT10.tif:1-1_1_38_NA_1_1_NA_1:907	307.333	35.333	19	38
39	Image5D_bf2981_SPOT10.tif:1-1_1_39_NA_1_1_NA_1:929	304.000	30.667	17	39
40	Image5D_bf2981_SPOT10.tif:1-1_1_40_NA_1_1_NA_1:953	307.333	30.667	17	40
41	Image5D_bf2981_SPOT10.tif:1-1_1_41_NA_1_1_NA_1:978	310.667	40.000	18	41
42	Image5D_bf2981_SPOT10.tif:1-1_1_42_NA_1_1_NA_1:1002	305.333	27.333	18	42
43	Image5D_bf2981_SPOT10.tif:1-1_1_43_NA_1_1_NA_1:1026	302.000	39.333	18	43
44	Image5D_bf2981_SPOT10.tif:2-1_1_44_1-1_1_1_2-2_1:1049	307.333	26.000	17	44
45	Image5D_bf2981_SPOT10.tif:2-2_2_44_1-1_1_1_2-1_1:1049	286.000	32.000	17	44
46	Image5D_bf2981_SPOT10.tif:2-1_1_45_1-1_1_1_2-2_1:1072	313.333	32.667	16	45
47	Image5D_bf2981_SPOT10.tif:2-2_2_45_1-1_1_1_2-1_1:1072	297.333	34.000	16	45
48	Image5D_bf2981_SPOT10.tif:2-1_1_46_1-1_1_1_2-2_1:1096	306.667	34.667	16	46
49	Image5D_bf2981_SPOT10.tif:2-2_2_46_1-1_1_1_2-1_1:1096	290.000	40.667	16	46
50	Image5D_bf2981_SPOT10.tif:2-1_1_47_1-1_1_1_2-2_1:1121	312.667	33.333	17	47
51	Image5D_bf2981_SPOT10.tif:2-2_2_47_1-1_1_1_2-1_1:1121	290.667	42.000	17	47
52	Image5D_bf2981_SPOT10.tif:2-1_1_48_1-1_1_1_2-2_1:1142	306.667	28.000	14	48
53	Image5D_bf2981_SPOT10.tif:3-1_2_48_2-2_1_1_3-2_1:1142	276.000	42.667	14	48
54	Image5D_bf2981_SPOT10.tif:3-2_3_48_2-2_1_1_3-1_1:1142	283.333	30.000	14	48
55	Image5D_bf2981_SPOT10.tif:2-1_1_49_1-1_1_1_2-2_1:1170	316.667	32.667	18	49
56	Image5D_bf2981_SPOT10.tif:3-1_2_49_2-2_1_1_3-2_1:1170	285.333	39.333	18	49
57	Image5D_bf2981_SPOT10.tif:3-2_3_49_2-2_1_1_3-1_1:1169	301.333	27.333	17	49
58	Image5D_bf2981_SPOT10.tif:2-1_1_50_1-1_1_1_2-2_1:1197	318.000	20.667	21	50
59	Image5D_bf2981_SPOT10.tif:3-1_2_50_2-2_1_1_3-2_1:1197	286.667	35.333	21	50
60	Image5D_bf2981_SPOT10.tif:3-2_3_50_2-2_1_1_3-1_1:1197	298.000	15.333	21	50
61	Image5D_bf2981_SPOT10.tif:2-1_1_51_1-1_1_1_2-2_1:1217	350.000	40.000	17	51
62	Image5D_bf2981_SPOT10.tif:3-1_2_51_2-2_1_1_3-2_1:1217	319.333	48.000	17	51
63	Image5D_bf2981_SPOT10.tif:3-2_3_51_2-2_1_1_3-1_1_0:1217	330.667	28.667	17	51
64	Image5D_bf2981_SPOT10.tif:2-1_1_52_1-1_1_1_2-2_1:1242	347.333	90.000	18	52
