 	Label	X	Y	Slice	Frame
1	Image5D_bf2981_SPOT11.tif:1-1_1_1_NA_1_1_NA_1:18	352.000	464.667	18	1
2	Image5D_bf2981_SPOT11.tif:1-1_1_2_NA_1_1_NA_1:43	356.667	461.333	18	2
3	Image5D_bf2981_SPOT11.tif:1-1_1_3_NA_1_1_NA_1:67	357.333	454.000	17	3
4	Image5D_bf2981_SPOT11.tif:1-1_1_4_NA_1_1_NA_1:92	368.000	467.333	17	4
5	Image5D_bf2981_SPOT11.tif:1-1_1_5_NA_1_1_NA_1:117	376.667	452.000	17	5
6	Image5D_bf2981_SPOT11.tif:1-1_1_6_NA_1_1_NA_1:141	378.000	425.333	16	6
7	Image5D_bf2981_SPOT11.tif:1-1_1_7_NA_1_1_NA_1:168	358.000	416.000	18	7
8	Image5D_bf2981_SPOT11.tif:1-1_1_8_NA_1_1_NA_1:191	384.000	408.000	16	8
9	Image5D_bf2981_SPOT11.tif:1-1_1_9_NA_1_1_NA_1:216	386.667	404.000	16	9
10	Image5D_bf2981_SPOT11.tif:1-1_1_10_NA_1_1_NA_1:240	390.000	452.667	15	10
11	Image5D_bf2981_SPOT11.tif:1-1_1_11_NA_1_1_NA_1:267	373.333	468.000	17	11
12	Image5D_bf2981_SPOT11.tif:1-1_1_12_NA_1_1_NA_1:292	358.667	462.667	17	12
13	Image5D_bf2981_SPOT11.tif:1-1_1_13_NA_1_1_NA_1:314	355.333	475.333	14	13
14	Image5D_bf2981_SPOT11.tif:1-1_1_14_NA_1_1_NA_1:341	363.333	468.667	16	14
15	Image5D_bf2981_SPOT11.tif:1-1_1_15_NA_1_1_NA_1:366	364.000	460.000	16	15
16	Image5D_bf2981_SPOT11.tif:1-1_1_16_NA_1_1_NA_1:391	365.333	464.000	16	16
17	Image5D_bf2981_SPOT11.tif:1-1_1_17_NA_1_1_NA_1:416	367.333	431.333	16	17
18	Image5D_bf2981_SPOT11.tif:1-1_1_18_NA_1_1_NA_1:441	386.667	477.333	16	18
19	Image5D_bf2981_SPOT11.tif:1-1_1_19_NA_1_1_NA_1:466	381.333	477.333	16	19
20	Image5D_bf2981_SPOT11.tif:1-1_1_20_NA_1_1_NA_1:492	400.000	470.000	17	20
21	Image5D_bf2981_SPOT11.tif:1-1_1_21_NA_1_1_NA_1:517	394.000	475.333	17	21
22	Image5D_bf2981_SPOT11.tif:1-1_1_22_NA_1_1_NA_1:540	402.667	466.000	15	22
23	Image5D_bf2981_SPOT11.tif:1-1_1_23_NA_1_1_NA_1:567	385.333	468.000	17	23
24	Image5D_bf2981_SPOT11.tif:1-1_1_24_NA_1_1_NA_1:590	385.333	468.000	17	23
25	Image5D_bf2981_SPOT11.tif:1-1_1_25_NA_1_1_NA_1:615	394.667	464.000	15	25
26	Image5D_bf2981_SPOT11.tif:1-1_1_26_NA_1_1_NA_1:640	401.333	466.000	15	26
27	Image5D_bf2981_SPOT11.tif:1-1_1_27_NA_1_1_NA_1:665	398.667	470.000	15	27
28	Image5D_bf2981_SPOT11.tif:1-1_1_28_NA_1_1_NA_1:691	399.333	462.667	16	28
29	Image5D_bf2981_SPOT11.tif:1-1_1_29_NA_1_1_NA_1:716	394.000	474.000	16	29
30	Image5D_bf2981_SPOT11.tif:1-1_1_30_NA_1_1_NA_1:741	396.000	454.667	16	30
31	Image5D_bf2981_SPOT11.tif:1-1_1_31_NA_1_1_NA_1:766	394.000	457.333	16	31
32	Image5D_bf2981_SPOT11.tif:1-1_1_32_NA_1_1_NA_1:790	398.000	450.000	15	32
33	Image5D_bf2981_SPOT11.tif:1-1_1_33_NA_1_1_NA_1:815	394.667	462.000	15	33
34	Image5D_bf2981_SPOT11.tif:1-1_1_34_NA_1_1_NA_1:840	398.000	458.000	15	34
35	Image5D_bf2981_SPOT11.tif:1-1_1_35_NA_1_1_NA_1:865	434.667	433.333	15	35
36	Image5D_bf2981_SPOT11.tif:1-1_1_36_NA_1_1_NA_1:890	434.667	433.333	15	35
37	Image5D_bf2981_SPOT11.tif:1-1_1_37_NA_1_1_NA_1:913	444.000	430.667	13	37
38	Image5D_bf2981_SPOT11.tif:1-1_1_38_NA_1_1_NA_1:941	450.000	408.667	16	38
39	Image5D_bf2981_SPOT11.tif:1-1_1_39_NA_1_1_NA_1:966	440.000	420.000	16	39
40	Image5D_bf2981_SPOT11.tif:1-1_1_40_NA_1_1_NA_1:989	436.000	435.333	14	40
41	Image5D_bf2981_SPOT11.tif:1-1_1_41_NA_1_1_NA_1:1016	404.000	476.000	16	41
42	Image5D_bf2981_SPOT11.tif:1-1_1_42_NA_1_1_NA_1:1041	396.667	455.333	16	42
43	Image5D_bf2981_SPOT11.tif:1-1_1_43_NA_1_1_NA_1:1066	394.667	470.000	16	43
44	Image5D_bf2981_SPOT11.tif:1-1_1_44_NA_1_1_NA_1:1089	402.000	472.667	14	44
45	Image5D_bf2981_SPOT11.tif:1-1_1_45_NA_1_1_NA_1:1117	393.333	473.333	17	45
46	Image5D_bf2981_SPOT11.tif:1-1_1_46_NA_1_1_NA_1:1142	395.333	480.000	17	46
47	Image5D_bf2981_SPOT11.tif:1-1_1_47_NA_1_1_NA_1:1167	388.667	474.000	17	47
48	Image5D_bf2981_SPOT11.tif:2-1_1_48_1-1_1_1_2-2_1:1191	387.333	473.333	16	48
49	Image5D_bf2981_SPOT11.tif:2-2_2_48_1-1_1_1_2-1_1:1191	403.333	472.667	16	48
50	Image5D_bf2981_SPOT11.tif:2-1_1_49_1-1_1_1_2-2_1:1218	380.667	476.667	18	49
51	Image5D_bf2981_SPOT11.tif:2-2_2_49_1-1_1_1_2-1_1:1218	396.000	474.000	18	49
52	Image5D_bf2981_SPOT11.tif:2-1_1_50_1-1_1_1_2-2_1:1241	386.000	464.667	16	50
53	Image5D_bf2981_SPOT11.tif:2-2_2_50_1-1_1_1_2-1_1:1241	399.333	459.333	16	50
54	Image5D_bf2981_SPOT11.tif:2-1_1_51_1-1_1_1_2-2_1:1266	384.000	483.333	16	51
55	Image5D_bf2981_SPOT11.tif:2-2_2_51_1-1_1_1_2-1_1:1266	395.333	470.667	16	51
56	Image5D_bf2981_SPOT11.tif:2-1_1_52_1-1_1_1_2-2_1:1291	374.000	476.667	16	52
57	Image5D_bf2981_SPOT11.tif:3-1_2_52_2-2_1_1_3-2_1:1291	397.333	451.333	16	52
58	Image5D_bf2981_SPOT11.tif:3-2_2_52_2-2_1_1_3-1_1:1291	390.000	463.333	16	52
59	Image5D_bf2981_SPOT11.tif:2-1_1_53_1-1_1_1_2-2_1:1318	382.000	478.000	18	53
60	Image5D_bf2981_SPOT11.tif:4-1_2_53_3-1_1_0-5_4-2_0-5:1318	396.667	472.000	18	53
61	Image5D_bf2981_SPOT11.tif:4-2_3_53_3-1_1_0-5_4-1_0-5:1318	405.333	450.000	18	53
62	Image5D_bf2981_SPOT11.tif:4-3_3_53_3-2_1_0-5_4-4_0-5:1318	381.333	467.333	18	53
63	Image5D_bf2981_SPOT11.tif:4-4_3_53_3-2_1_0-5_4-3_0-5:1318	357.333	480.000	18	53
64	Image5D_bf2981_SPOT11.tif:2-1_1_54_1-1_1_1_2-2_1:1343	392.000	464.667	18	54
65	Image5D_bf2981_SPOT11.tif:4-2_3_54_3-1_1_0-5_4-1_0-5:1343	412.000	435.333	18	54
66	Image5D_bf2981_SPOT11.tif:4-3_3_54_3-2_1_0-5_4-4_0-5:1343	388.667	450.000	18	54
67	Image5D_bf2981_SPOT11.tif:4-4_3_54_3-2_1_0-5_4-3_0-5:1343	350.667	462.000	18	54
68	Image5D_bf2981_SPOT11.tif:5-1_3_54_4-1_1_1_5-2_1:1343	410.000	455.333	18	54
69	Image5D_bf2981_SPOT11.tif:5-2_3_54_4-1_1_1_5-1_1:1343	378.667	484.667	18	54
70	Image5D_bf2981_SPOT11.tif:2-1_1_55_1-1_1_1_2-2_1:1366	390.000	470.000	16	55
71	Image5D_bf2981_SPOT11.tif:4-2_3_55_3-1_1_0-5_4-1_0-5:1366	410.000	440.667	16	55
72	Image5D_bf2981_SPOT11.tif:4-3_3_55_3-2_1_0-5_4-4_0-5:1366	421.333	427.333	16	55
73	Image5D_bf2981_SPOT11.tif:4-4_3_55_3-2_1_0-5_4-3_0-5:1366	343.333	472.000	16	55
74	Image5D_bf2981_SPOT11.tif:5-1_3_55_4-1_1_1_5-2_1:1366	396.000	467.333	16	55
75	Image5D_bf2981_SPOT11.tif:5-2_3_55_4-1_1_1_5-1_1:1366	384.667	498.667	16	55
76	Image5D_bf2981_SPOT11.tif:2-1_1_56_1-1_1_1_2-2_1:1394	381.333	471.333	19	56
77	Image5D_bf2981_SPOT11.tif:4-2_3_56_3-1_1_0-5_4-1_0-5_0:1394	420.667	429.333	19	56
78	Image5D_bf2981_SPOT11.tif:4-3_3_56_3-2_1_0-5_4-4_0-5:1394	414.000	442.000	19	56
79	Image5D_bf2981_SPOT11.tif:4-4_3_56_3-2_1_0-5_4-3_0-5:1394	347.333	484.000	19	56
80	Image5D_bf2981_SPOT11.tif:5-1_3_56_4-1_1_1_5-2_1:1394	399.333	471.333	19	56
81	Image5D_bf2981_SPOT11.tif:5-2_3_56_4-1_1_1_5-1_1:1394	385.333	494.667	19	56
82	Image5D_bf2981_SPOT11.tif:2-1_1_57_1-1_1_1_2-2_1:1418	392.000	474.000	18	57
83	Image5D_bf2981_SPOT11.tif:4-3_3_57_3-2_1_0-5_4-4_0-5:1418	426.667	433.333	18	57
84	Image5D_bf2981_SPOT11.tif:4-4_3_57_3-2_1_0-5_4-3_0-5:1418	350.000	480.667	18	57
85	Image5D_bf2981_SPOT11.tif:5-1_3_57_4-1_1_1_5-2_1:1418	410.667	468.000	18	57
86	Image5D_bf2981_SPOT11.tif:5-2_3_57_4-1_1_1_5-1_1:1418	364.667	504.000	18	57
87	Image5D_bf2981_SPOT11.tif:2-1_1_58_1-1_1_1_2-2_1:1443	388.667	472.667	18	58
88	Image5D_bf2981_SPOT11.tif:4-3_3_58_3-2_1_0-5_4-4_0-5:1443	427.333	432.667	18	58
89	Image5D_bf2981_SPOT11.tif:4-4_3_58_3-2_1_0-5_4-3_0-5:1443	356.000	478.000	18	58
90	Image5D_bf2981_SPOT11.tif:5-1_3_58_4-1_1_1_5-2_1:1443	401.333	475.333	18	58
91	Image5D_bf2981_SPOT11.tif:5-2_3_58_4-1_1_1_5-1_1:1443	362.667	506.667	18	58
92	Image5D_bf2981_SPOT11.tif:2-1_1_59_1-1_1_1_2-2_1:1468	388.000	480.000	18	59
