 	Label	X	Y	Slice	Frame
1	Image5D_bf2981_SPOT3.tif:1-1_1_1_NA_1_1_NA_1:18	315.333	476.000	18	1
2	Image5D_bf2981_SPOT3.tif:1-1_1_2_NA_1_1_NA_1:43	324.667	331.333	18	2
3	Image5D_bf2981_SPOT3.tif:2-1_2_3_1-1_1_1_2-2_1:68	342.000	318.667	18	3
4	Image5D_bf2981_SPOT3.tif:2-2_2_3_1-1_0-5_1_2-1_1:68	343.333	308.667	18	3
5	Image5D_bf2981_SPOT3.tif:2-1_2_4_1-1_1_1_2-2_1:90	342.000	320.667	15	4
6	Image5D_bf2981_SPOT3.tif:3-1_2_4_2-2_1_0-5_3-2_1:90	346.667	309.333	15	4
7	Image5D_bf2981_SPOT3.tif:3-2_3_4_2-2_1_0-5_3-1_1:90	349.333	293.333	15	4
8	Image5D_bf2981_SPOT3.tif:3-1_2_5_2-2_1_0-5_3-2_1:116	382.667	313.333	16	5
9	Image5D_bf2981_SPOT3.tif:3-2_3_5_2-2_1_0-5_3-1_1:116	382.000	298.667	16	5
10	Image5D_bf2981_SPOT3.tif:3-3_2_5_2-1_1_0-5_3-4_1:116	376.000	324.667	16	5
11	Image5D_bf2981_SPOT3.tif:3-4_3_5_2-1_1_0-5_3-3_1:116	361.333	322.667	16	5
12	Image5D_bf2981_SPOT3.tif:3-1_2_6_2-2_1_0-5_3-2_1:140	382.000	316.000	15	6
13	Image5D_bf2981_SPOT3.tif:3-2_3_6_2-2_1_0-5_3-1_1:140	383.333	296.000	15	6
14	Image5D_bf2981_SPOT3.tif:3-4_3_6_2-1_1_0-5_3-3_1:140	348.000	289.333	15	6
15	Image5D_bf2981_SPOT3.tif:4-1_3_6_3-3_1_1_4-2_1:140	364.667	325.333	15	6
16	Image5D_bf2981_SPOT3.tif:4-2_3_6_3-3_1_1_4-1_1:140	380.000	342.667	15	6
17	Image5D_bf2981_SPOT3.tif:3-1_2_7_2-2_1_0-5_3-2_1:164	415.333	309.333	14	7
18	Image5D_bf2981_SPOT3.tif:3-2_3_7_2-2_1_0-5_3-1_1:164	420.667	291.333	14	7
19	Image5D_bf2981_SPOT3.tif:3-4_3_7_2-1_1_0-5_3-3_1:164	384.667	274.000	14	7
20	Image5D_bf2981_SPOT3.tif:4-1_3_7_3-3_1_1_4-2_1:164	401.333	318.000	14	7
21	Image5D_bf2981_SPOT3.tif:4-2_3_7_3-3_1_1_4-1_1:165	415.333	366.000	15	7
22	Image5D_bf2981_SPOT3.tif:3-1_2_8_2-2_1_0-5_3-2_1:191	379.333	314.667	16	8
23	Image5D_bf2981_SPOT3.tif:3-2_3_8_2-2_1_0-5_3-1_1:191	378.667	302.000	16	8
24	Image5D_bf2981_SPOT3.tif:3-4_3_8_2-1_1_0-5_3-3_1:191	346.667	281.333	16	8
25	Image5D_bf2981_SPOT3.tif:4-1_3_8_3-3_1_1_4-2_1:191	368.000	326.667	16	8
26	Image5D_bf2981_SPOT3.tif:4-2_3_8_3-3_1_1_4-1_1_0:191	381.333	343.333	16	8
27	Image5D_bf2981_SPOT3.tif:3-1_2_9_2-2_1_0-5_3-2_1:218	372.000	325.333	18	9
28	Image5D_bf2981_SPOT3.tif:3-2_3_9_2-2_1_0-5_3-1_1_0:218	374.000	312.000	18	9
29	Image5D_bf2981_SPOT3.tif:3-4_3_9_2-1_1_0-5_3-3_1:218	343.333	287.333	18	9
30	Image5D_bf2981_SPOT3.tif:4-1_3_9_3-3_1_1_4-2_1_0:218	340.000	336.000	18	9
31	Image5D_bf2981_SPOT3.tif:3-1_2_10_2-2_1_0-5_3-2_1:241	363.333	330.000	16	10
32	Image5D_bf2981_SPOT3.tif:3-4_3_10_2-1_1_0-5_3-3_1:241	350.667	284.667	16	10
33	Image5D_bf2981_SPOT3.tif:3-1_2_11_2-2_1_0-5_3-2_1:266	373.333	306.667	16	11
34	Image5D_bf2981_SPOT3.tif:3-4_3_11_2-1_1_0-5_3-3_1:266	352.000	266.000	16	11
35	Image5D_bf2981_SPOT3.tif:3-1_2_12_2-2_1_0-5_3-2_1:291	382.000	315.333	16	12
36	Image5D_bf2981_SPOT3.tif:3-4_3_12_2-1_1_0-5_3-3_1:291	366.667	276.000	16	12
37	Image5D_bf2981_SPOT3.tif:3-1_2_13_2-2_1_0-5_3-2_1:313	392.000	315.333	13	13
38	Image5D_bf2981_SPOT3.tif:3-4_3_13_2-1_1_0-5_3-3_1:313	369.333	276.000	13	13
39	Image5D_bf2981_SPOT3.tif:3-1_2_14_2-2_1_0-5_3-2_1:339	389.333	308.667	14	14
40	Image5D_bf2981_SPOT3.tif:3-4_3_14_2-1_1_0-5_3-3_1:339	370.000	273.333	14	14
41	Image5D_bf2981_SPOT3.tif:3-1_2_15_2-2_1_0-5_3-2_1:364	385.333	307.333	14	15
42	Image5D_bf2981_SPOT3.tif:3-4_3_15_2-1_1_0-5_3-3_1:364	367.333	270.000	14	15
43	Image5D_bf2981_SPOT3.tif:3-1_2_16_2-2_1_0-5_3-2_1:389	384.000	314.000	14	16
44	Image5D_bf2981_SPOT3.tif:3-4_3_16_2-1_1_0-5_3-3_1_0:389	368.000	270.000	14	16
45	Image5D_bf2981_SPOT3.tif:4-3_2_17_3-1_1_1_4-4_1:412	390.000	316.667	12	17
46	Image5D_bf2981_SPOT3.tif:4-4_3_17_3-1_1_1_4-3_1:412	396.000	298.000	12	17
47	Image5D_bf2981_SPOT3.tif:4-3_2_18_3-1_1_1_4-4_1:439	416.667	316.000	14	18
48	Image5D_bf2981_SPOT3.tif:4-4_3_18_3-1_1_1_4-3_1:439	418.667	296.000	14	18
49	Image5D_bf2981_SPOT3.tif:4-4_3_19_3-1_1_1_4-3_1:464	396.000	292.667	14	19
50	Image5D_bf2981_SPOT3.tif:5-1_2_19_4-3_1_1_5-2_1:464	376.667	312.667	14	19
51	Image5D_bf2981_SPOT3.tif:5-2_3_19_4-3_1_1_5-1_1:464	355.333	335.333	14	19
52	Image5D_bf2981_SPOT3.tif:4-4_3_20_3-1_1_1_4-3_1:489	411.333	296.000	14	20
53	Image5D_bf2981_SPOT3.tif:5-2_3_20_4-3_1_1_5-1_1:489	365.333	336.000	14	20
54	Image5D_bf2981_SPOT3.tif:6-1_2_20_5-1_1_1_6-2_1:489	396.000	312.667	14	20
55	Image5D_bf2981_SPOT3.tif:6-2_3_20_5-1_1_1_6-1_1:489	388.000	324.667	14	20
56	Image5D_bf2981_SPOT3.tif:4-4_3_21_3-1_1_1_4-3_1_0:514	409.333	276.000	14	21
57	Image5D_bf2981_SPOT3.tif:5-2_3_21_4-3_1_1_5-1_1_0:514	364.667	318.000	14	21
58	Image5D_bf2981_SPOT3.tif:6-1_2_21_5-1_1_1_6-2_1:514	389.333	289.333	14	21
59	Image5D_bf2981_SPOT3.tif:6-2_3_21_5-1_1_1_6-1_1:514	380.000	297.333	14	21
