 	Label	X	Y	Slice	Frame
1	Image5D_bf3419_SPOT12.tif:1-1_1_1_NA_NA_1_1_NA_1:17	183.333	292.667	17	1
2	Image5D_bf3419_SPOT12.tif:1-1_1_2_NA_NA_1_1_NA_1:45	193.333	323.333	12	2
3	Image5D_bf3419_SPOT12.tif:1-1_1_3_NA_NA_1_1_NA_1:78	190.000	354.667	12	3
4	Image5D_bf3419_SPOT12.tif:1-1_1_4_NA_NA_1_1_NA_1:116	159.333	344.000	17	4
5	Image5D_bf3419_SPOT12.tif:1-1_1_5_NA_NA_1_1_NA_1:149	168.667	373.333	17	5
6	Image5D_bf3419_SPOT12.tif:1-1_1_6_NA_NA_1_1_NA_1:182	185.333	365.333	17	6
7	Image5D_bf3419_SPOT12.tif:1-1_1_7_NA_NA_1_1_NA_1:215	176.667	364.000	17	7
8	Image5D_bf3419_SPOT12.tif:1-1_1_8_NA_NA_1_1_NA_1:248	171.333	375.333	17	8
9	Image5D_bf3419_SPOT12.tif:1-1_1_9_NA_NA_1_1_NA_1:281	174.667	372.667	17	9
10	Image5D_bf3419_SPOT12.tif:1-1_1_10_NA_NA_1_1_NA_1:314	186.000	390.000	17	10
11	Image5D_bf3419_SPOT12.tif:1-1_1_11_NA_NA_1_1_NA_1:345	193.333	384.000	15	11
12	Image5D_bf3419_SPOT12.tif:1-1_1_12_NA_NA_1_1_NA_1:378	188.000	392.000	15	12
13	Image5D_bf3419_SPOT12.tif:1-1_1_13_NA_NA_1_1_NA_1:411	204.667	388.667	15	13
14	Image5D_bf3419_SPOT12.tif:1-1_1_14_NA_NA_1_1_NA_1:447	192.667	400.000	18	14
15	Image5D_bf3419_SPOT12.tif:1-1_1_15_NA_NA_1_1_NA_1:480	204.667	390.000	18	15
16	Image5D_bf3419_SPOT12.tif:1-1_1_16_NA_NA_1_1_NA_1:510	207.333	383.333	15	16
17	Image5D_bf3419_SPOT12.tif:1-1_1_17_NA_NA_1_1_NA_1:545	210.667	384.000	17	17
18	Image5D_bf3419_SPOT12.tif:1-1_1_18_NA_NA_1_1_NA_1:577	206.667	393.333	16	18
19	Image5D_bf3419_SPOT12.tif:1-1_1_19_NA_NA_1_1_NA_1:613	218.667	384.000	19	19
20	Image5D_bf3419_SPOT12.tif:1-1_1_20_NA_NA_1_1_NA_1:646	212.000	400.000	19	20
21	Image5D_bf3419_SPOT12.tif:1-1_1_21_NA_NA_1_1_NA_1:679	198.000	386.000	19	21
22	Image5D_bf3419_SPOT12.tif:1-1_1_22_NA_NA_1_1_NA_1:712	202.667	379.333	19	22
23	Image5D_bf3419_SPOT12.tif:1-1_1_23_NA_NA_1_1_NA_1:742	183.333	378.667	16	23
24	Image5D_bf3419_SPOT12.tif:1-1_1_24_NA_NA_1_1_NA_1:775	182.000	374.667	16	24
25	Image5D_bf3419_SPOT12.tif:1-1_1_25_NA_NA_1_1_NA_1:808	211.333	386.667	16	25
