 	Label	X	Y	Slice	Frame
1	Image5D_bf2983_SPOT1.tif:1-1_1_1_NA_1_1_NA_1:11	330	143	11	1
2	Image5D_bf2983_SPOT1.tif:1-1_1_2_NA_1_1_NA_1:42	340	139	11	2
3	Image5D_bf2983_SPOT1.tif:1-1_1_3_NA_1_1_NA_1:69	349	57	7	3
4	Image5D_bf2983_SPOT1.tif:1-1_1_4_NA_1_1_NA_1:100	359	58	7	4
5	Image5D_bf2983_SPOT1.tif:1-1_1_5_NA_1_1_NA_1:131	360	62	7	5
6	Image5D_bf2983_SPOT1.tif:1-1_1_6_NA_1_1_NA_1:162	353	58	7	6
7	Image5D_bf2983_SPOT1.tif:1-1_1_7_NA_1_1_NA_1:191	356	59	5	7
8	Image5D_bf2983_SPOT1.tif:1-1_1_8_NA_1_1_NA_1:223	364	59	6	8
9	Image5D_bf2983_SPOT1.tif:1-1_1_9_NA_1_1_NA_1:254	361	68	6	9
10	Image5D_bf2983_SPOT1.tif:1-1_1_10_NA_1_1_NA_1:285	362	63	6	10
11	Image5D_bf2983_SPOT1.tif:1-1_1_11_NA_1_1_NA_1:320	350	76	10	11
12	Image5D_bf2983_SPOT1.tif:1-1_1_12_NA_1_1_NA_1:353	288	83	12	12
13	Image5D_bf2983_SPOT1.tif:1-1_1_13_NA_1_1_NA_1:383	301	79	11	13
14	Image5D_bf2983_SPOT1.tif:1-1_1_14_NA_1_1_NA_1:414	295	80	11	14
15	Image5D_bf2983_SPOT1.tif:1-1_1_15_NA_1_1_NA_1:445	296	86	11	15
16	Image5D_bf2983_SPOT1.tif:1-1_1_16_NA_1_1_NA_1:476	292	84	11	16
17	Image5D_bf2983_SPOT1.tif:1-1_1_17_NA_1_1_NA_1:507	300	86	11	17
18	Image5D_bf2983_SPOT1.tif:1-1_1_18_NA_1_1_NA_1:538	294	83	11	18
19	Image5D_bf2983_SPOT1.tif:1-1_1_19_NA_1_1_NA_1:569	294	74	11	19
20	Image5D_bf2983_SPOT1.tif:1-1_1_20_NA_1_1_NA_1:598	296	81	9	20
21	Image5D_bf2983_SPOT1.tif:1-1_1_21_NA_1_1_NA_1:631	292	84	11	21
22	Image5D_bf2983_SPOT1.tif:1-1_1_22_NA_1_1_NA_1:662	287	83	11	22
23	Image5D_bf2983_SPOT1.tif:1-1_1_23_NA_1_1_NA_1:693	293	84	11	23
24	Image5D_bf2983_SPOT1.tif:1-1_1_24_NA_1_1_NA_1:722	293	72	9	24
25	Image5D_bf2983_SPOT1.tif:1-1_1_25_NA_1_1_NA_1:755	291	73	11	25
26	Image5D_bf2983_SPOT1.tif:1-1_1_26_NA_1_1_NA_1:785	296	76	10	26
27	Image5D_bf2983_SPOT1.tif:1-1_1_27_NA_1_1_NA_1:817	299	80	11	27
28	Image5D_bf2983_SPOT1.tif:1-1_1_28_NA_1_1_NA_1:848	250	87	11	28
29	Image5D_bf2983_SPOT1.tif:1-1_1_29_NA_1_1_NA_1:879	288	89	11	29
30	Image5D_bf2983_SPOT1.tif:1-1_1_30_NA_1_1_NA_1:911	281	80	12	30
31	Image5D_bf2983_SPOT1.tif:1-1_1_31_NA_1_1_NA_1:942	279	107	12	31
32	Image5D_bf2983_SPOT1.tif:1-1_1_32_NA_1_1_NA_1:973	282	82	12	32
33	Image5D_bf2983_SPOT1.tif:1-1_1_33_NA_1_1_NA_1:1002	244	84	10	33
34	Image5D_bf2983_SPOT1.tif:1-1_1_34_NA_1_1_NA_1:1033	281	65	10	34
35	Image5D_bf2983_SPOT1.tif:1-1_1_35_NA_1_1_NA_1:1065	297	71	11	35
36	Image5D_bf2983_SPOT1.tif:1-1_1_36_NA_1_1_NA_1:1097	290	72	12	36
37	Image5D_bf2983_SPOT1.tif:1-1_1_37_NA_1_1_NA_1:1128	280	83	12	37
38	Image5D_bf2983_SPOT1.tif:1-1_1_38_NA_1_1_NA_1:1161	266	65	14	38
39	Image5D_bf2983_SPOT1.tif:1-1_1_39_NA_1_1_NA_1:1192	284	78	14	39
40	Image5D_bf2983_SPOT1.tif:1-1_1_40_NA_1_1_NA_1:1223	282	70	14	40
41	Image5D_bf2983_SPOT1.tif:1-1_1_41_NA_1_1_NA_1:1253	289	91	13	41
42	Image5D_bf2983_SPOT1.tif:1-1_1_42_NA_1_1_NA_1:1284	284	93	13	42
43	Image5D_bf2983_SPOT1.tif:1-1_1_43_NA_1_1_NA_1:1315	293	88	13	43
