 	Label	X	Y	Slice	Frame
1	Image5D_bf2981_SPOT1.tif:1-1_1_1_NA_1_1_NA_1:22	204.667	368.667	22	1
2	Image5D_bf2981_SPOT1.tif:1-1_1_2_NA_1_1_NA_1:51	206.000	363.333	22	2
3	Image5D_bf2981_SPOT1.tif:1-1_1_3_NA_1_1_NA_1:78	224.667	366.000	20	3
4	Image5D_bf2981_SPOT1.tif:1-1_1_4_NA_1_1_NA_1:107	220.667	369.333	20	4
5	Image5D_bf2981_SPOT1.tif:1-1_1_5_NA_1_1_NA_1:136	223.333	374.000	20	5
6	Image5D_bf2981_SPOT1.tif:1-1_1_6_NA_1_1_NA_1:165	224.000	388.667	20	6
7	Image5D_bf2981_SPOT1.tif:1-1_1_7_NA_1_1_NA_1:194	230.667	381.333	20	7
8	Image5D_bf2981_SPOT1.tif:1-1_1_8_NA_1_1_NA_1:223	229.333	387.333	20	8
9	Image5D_bf2981_SPOT1.tif:2-1_1_9_1-1_1_1_2-2_1:253	228.000	392.667	21	9
10	Image5D_bf2981_SPOT1.tif:2-2_2_9_1-1_1_1_2-1_1:253	230.667	407.333	21	9
11	Image5D_bf2981_SPOT1.tif:2-1_1_10_1-1_1_1_2-2_1:283	220.667	406.667	22	10
12	Image5D_bf2981_SPOT1.tif:2-2_2_10_1-1_1_1_2-1_1:283	221.333	418.667	22	10
13	Image5D_bf2981_SPOT1.tif:2-1_1_11_1-1_1_1_2-2_1:312	215.333	392.667	22	11
14	Image5D_bf2981_SPOT1.tif:2-2_2_11_1-1_1_1_2-1_1:312	209.333	409.333	22	11
15	Image5D_bf2981_SPOT1.tif:2-1_1_12_1-1_1_1_2-2_1:339	228.000	395.333	20	12
16	Image5D_bf2981_SPOT1.tif:3-1_2_12_2-2_1_1_3-2_1:339	224.667	407.333	20	12
17	Image5D_bf2981_SPOT1.tif:3-2_2_12_2-2_1_1_3-1_1:339	240.667	422.667	20	12
18	Image5D_bf2981_SPOT1.tif:2-1_1_13_1-1_1_1_2-2_1:370	222.667	399.333	22	13
19	Image5D_bf2981_SPOT1.tif:3-1_2_13_2-2_1_1_3-2_1:370	223.333	415.333	22	13
20	Image5D_bf2981_SPOT1.tif:3-2_2_13_2-2_1_1_3-1_1:370	240.000	434.000	22	13
