 	Label	X	Y	Slice	Frame
1	Image5D_bf2985_SPOT2.tif:1-1_1_1_NA_1_1_NA_1:15	401.333	312.667	15	1
2	Image5D_bf2985_SPOT2.tif:1-1_1_2_NA_1_1_NA_1:50	412.000	314.000	20	2
3	Image5D_bf2985_SPOT2.tif:1-1_1_3_NA_1_1_NA_1:75	404.667	314.000	15	3
4	Image5D_bf2985_SPOT2.tif:1-1_1_4_NA_1_1_NA_1:106	408.667	307.333	16	4
5	Image5D_bf2985_SPOT2.tif:1-1_1_5_NA_1_1_NA_1:141	398.667	310.667	21	5
6	Image5D_bf2985_SPOT2.tif:1-1_1_6_NA_1_1_NA_1:164	393.333	315.333	14	6
7	Image5D_bf2985_SPOT2.tif:1-1_1_7_NA_1_1_NA_1:196	382.667	328.667	16	7
8	Image5D_bf2985_SPOT2.tif:1-1_1_8_NA_1_1_NA_1:230	366.667	345.333	20	8
9	Image5D_bf2985_SPOT2.tif:1-1_1_9_NA_1_1_NA_1:257	358.667	346.667	17	9
10	Image5D_bf2985_SPOT2.tif:1-1_1_10_NA_1_1_NA_1:290	374.667	356.000	20	10
11	Image5D_bf2985_SPOT2.tif:1-1_1_11_NA_1_1_NA_1:320	378.000	352.667	20	11
12	Image5D_bf2985_SPOT2.tif:1-1_1_12_NA_1_1_NA_1:348	376.667	306.000	18	12
13	Image5D_bf2985_SPOT2.tif:1-1_1_13_NA_1_1_NA_1:377	386.667	329.333	17	13
14	Image5D_bf2985_SPOT2.tif:1-1_1_14_NA_1_1_NA_1:405	380.000	322.000	15	14
15	Image5D_bf2985_SPOT2.tif:1-1_1_15_NA_1_1_NA_1:435	386.667	317.333	15	15
16	Image5D_bf2985_SPOT2.tif:1-1_1_16_NA_1_1_NA_1:465	374.667	328.000	15	16
17	Image5D_bf2985_SPOT2.tif:1-1_1_17_NA_1_1_NA_1:498	384.000	326.000	18	17
18	Image5D_bf2985_SPOT2.tif:1-1_1_18_NA_1_1_NA_1:528	386.667	330.667	18	18
19	Image5D_bf2985_SPOT2.tif:1-1_1_19_NA_1_1_NA_1:558	386.000	340.667	18	19
20	Image5D_bf2985_SPOT2.tif:1-1_1_20_NA_1_1_NA_1:588	376.000	337.333	18	20
21	Image5D_bf2985_SPOT2.tif:1-1_1_21_NA_1_1_NA_1:618	382.667	337.333	18	21
22	Image5D_bf2985_SPOT2.tif:1-1_1_22_NA_1_1_NA_1:648	384.667	340.000	18	22
23	Image5D_bf2985_SPOT2.tif:1-1_1_23_NA_1_1_NA_1:675	395.333	314.667	15	23
24	Image5D_bf2985_SPOT2.tif:1-1_1_24_NA_1_1_NA_1:706	387.333	338.667	16	24
25	Image5D_bf2985_SPOT2.tif:1-1_1_25_NA_1_1_NA_1:743	392.000	344.000	23	25
26	Image5D_bf2985_SPOT2.tif:1-1_1_26_NA_1_1_NA_1:768	377.333	350.667	18	26
27	Image5D_bf2985_SPOT2.tif:1-1_1_27_NA_1_1_NA_1:798	374.667	345.333	18	27
28	Image5D_bf2985_SPOT2.tif:1-1_1_28_NA_1_1_NA_1:827	387.333	346.667	17	28
29	Image5D_bf2985_SPOT2.tif:1-1_1_29_NA_1_1_NA_1:857	375.333	348.667	17	29
30	Image5D_bf2985_SPOT2.tif:1-1_1_30_NA_1_1_NA_1:887	379.333	348.000	17	30
