 	Label	X	Y	Slice	Frame
1	Image5D_bf2981_SPOT11.tif:1-1_1_1_NA_1_1_NA_1:11	287.333	396.000	11	1
2	Image5D_bf2981_SPOT11.tif:1-1_1_2_NA_1_1_NA_1:36	297.333	392.000	11	2
3	Image5D_bf2981_SPOT11.tif:1-1_1_3_NA_1_1_NA_1:61	290.667	378.667	11	3
4	Image5D_bf2981_SPOT11.tif:1-1_1_4_NA_1_1_NA_1:86	300.000	393.333	11	4
5	Image5D_bf2981_SPOT11.tif:1-1_1_5_NA_1_1_NA_1:111	311.333	383.333	11	5
6	Image5D_bf2981_SPOT11.tif:1-1_1_6_NA_1_1_NA_1:136	304.000	364.000	11	6
7	Image5D_bf2981_SPOT11.tif:1-1_1_7_NA_1_1_NA_1:162	288.000	356.667	12	7
8	Image5D_bf2981_SPOT11.tif:1-1_1_8_NA_1_1_NA_1:187	313.333	345.333	12	8
9	Image5D_bf2981_SPOT11.tif:1-1_1_9_NA_1_1_NA_1:210	318.000	338.667	10	9
10	Image5D_bf2981_SPOT11.tif:1-1_1_10_NA_1_1_NA_1:235	317.333	390.000	10	10
11	Image5D_bf2981_SPOT11.tif:1-1_1_11_NA_1_1_NA_1:260	306.667	397.333	10	11
12	Image5D_bf2981_SPOT11.tif:1-1_1_12_NA_1_1_NA_1:285	288.000	395.333	10	12
13	Image5D_bf2981_SPOT11.tif:1-1_1_13_NA_1_1_NA_1:310	282.667	404.000	10	13
14	Image5D_bf2981_SPOT11.tif:1-1_1_14_NA_1_1_NA_1:335	292.000	400.000	10	14
15	Image5D_bf2981_SPOT11.tif:1-1_1_15_NA_1_1_NA_1:360	288.000	395.333	10	15
16	Image5D_bf2981_SPOT11.tif:1-1_1_16_NA_1_1_NA_1:385	291.333	396.667	10	16
17	Image5D_bf2981_SPOT11.tif:1-1_1_17_NA_1_1_NA_1:410	286.000	370.000	10	17
18	Image5D_bf2981_SPOT11.tif:1-1_1_18_NA_1_1_NA_1:435	313.333	408.667	10	18
19	Image5D_bf2981_SPOT11.tif:1-1_1_19_NA_1_1_NA_1:460	304.667	408.000	10	19
