 	Label	X	Y	Slice	Frame
1	Image5D_bf3419_SPOT6.tif:1-1_1_1_NA_NA_1_1_NA_1:15	156.000	488.000	15	1
2	Image5D_bf3419_SPOT6.tif:1-1_1_2_NA_NA_1_1_NA_1:41	309.000	478.000	11	2
3	Image5D_bf3419_SPOT6.tif:1-1_1_3_NA_NA_1_1_NA_1:72	154.000	391.000	12	3
4	Image5D_bf3419_SPOT6.tif:1-1_1_4_NA_NA_1_1_NA_1:103	191.000	382.000	13	4
5	Image5D_bf3419_SPOT6.tif:1-1_1_5_NA_NA_1_1_NA_1:133	210.000	366.000	13	5
6	Image5D_bf3419_SPOT6.tif:1-1_1_6_NA_NA_1_1_NA_1:163	212.000	362.000	13	6
7	Image5D_bf3419_SPOT6.tif:1-1_1_7_NA_NA_1_1_NA_1:193	219.000	370.000	13	7
8	Image5D_bf3419_SPOT6.tif:1-1_1_8_NA_NA_1_1_NA_1:223	209.000	390.000	13	8
9	Image5D_bf3419_SPOT6.tif:1-1_1_9_NA_NA_1_1_NA_1:253	208.000	382.000	13	9
10	Image5D_bf3419_SPOT6.tif:1-1_1_10_NA_NA_1_1_NA_1:283	205.000	365.000	13	10
11	Image5D_bf3419_SPOT6.tif:1-1_1_11_NA_NA_1_1_NA_1:313	192.000	354.000	13	11
12	Image5D_bf3419_SPOT6.tif:1-1_1_12_NA_NA_1_1_NA_1:343	200.000	359.000	13	12
13	Image5D_bf3419_SPOT6.tif:1-1_1_13_NA_NA_1_1_NA_1:373	149.000	378.000	13	13
14	Image5D_bf3419_SPOT6.tif:1-1_1_14_NA_NA_1_1_NA_1:403	122.667	366.000	13	14
15	Image5D_bf3419_SPOT6.tif:1-1_1_15_NA_NA_1_1_NA_1:433	186.667	364.000	13	15
16	Image5D_bf3419_SPOT6.tif:1-1_1_16_NA_NA_1_1_NA_1:463	197.333	374.000	13	16
17	Image5D_bf3419_SPOT6.tif:1-1_1_17_NA_NA_1_1_NA_1:493	198.000	384.667	13	17
18	Image5D_bf3419_SPOT6.tif:1-1_1_18_NA_NA_1_1_NA_1:523	176.667	358.000	13	18
19	Image5D_bf3419_SPOT6.tif:1-1_1_19_NA_NA_1_1_NA_1:553	180.000	380.667	13	19
20	Image5D_bf3419_SPOT6.tif:1-1_1_20_NA_NA_1_1_NA_1:583	188.000	378.000	13	20
21	Image5D_bf3419_SPOT6.tif:1-1_1_21_NA_NA_1_1_NA_1:613	193.333	374.000	13	21
22	Image5D_bf3419_SPOT6.tif:1-1_1_22_NA_NA_1_1_NA_1:643	194.667	378.667	13	22
23	Image5D_bf3419_SPOT6.tif:1-1_1_23_NA_NA_1_1_NA_1:673	172.000	375.333	13	23
24	Image5D_bf3419_SPOT6.tif:2-1_1_24_1-1_1_1_2-2_1:703	192.667	356.667	13	24
25	Image5D_bf3419_SPOT6.tif:2-2_2_24_1-1_1_1_2-1_1:703	182.667	371.333	13	24
26	Image5D_bf3419_SPOT6.tif:2-1_1_25_1-1_1_1_2-2_1:734	212.000	383.333	14	25
