 	Label	X	Y	Slice	Frame
1	Image5D_bf2983_SPOT2.tif:1-1_1_0_NA_0_1_NA_1:14	106.000	165.333	14	1
2	Image5D_bf2983_SPOT2.tif:2-1_1_1_1-1_1_0-5_2-2_0-5:14	140.667	164.000	14	1
3	Image5D_bf2983_SPOT2.tif:2-2_2_1_1-1_1_0-5_2-1_0-5:14	147.333	156.000	14	1
4	Image5D_bf2983_SPOT2.tif:2-1_1_2_1-1_1_0-5_2-2_0-5:39	144.000	168.000	14	2
5	Image5D_bf2983_SPOT2.tif:2-2_2_2_1-1_1_0-5_2-1_0-5:39	151.333	156.667	14	2
6	Image5D_bf2983_SPOT2.tif:2-2_2_3_1-1_1_0-5_2-1_0-5:64	152.667	157.333	14	3
7	Image5D_bf2983_SPOT2.tif:3-1_1_3_2-1_1_1_3-2_1:64	138.667	158.667	14	3
8	Image5D_bf2983_SPOT2.tif:3-2_2_3_2-1_1_1_3-1_1:64	154.000	168.000	14	3
9	Image5D_bf2983_SPOT2.tif:2-2_2_4_1-1_1_0-5_2-1_0-5:89	134.000	124.000	14	4
10	Image5D_bf2983_SPOT2.tif:3-1_1_4_2-1_1_1_3-2_1:89	119.333	127.333	14	4
11	Image5D_bf2983_SPOT2.tif:3-2_2_4_2-1_1_1_3-1_1:89	141.333	142.000	14	4
12	Image5D_bf2983_SPOT2.tif:3-1_1_5_2-1_1_1_3-2_1:115	114.667	122.000	15	5
13	Image5D_bf2983_SPOT2.tif:3-3_3_5_2-2_1_0-5_3-4_0-5:115	132.667	118.000	15	5
14	Image5D_bf2983_SPOT2.tif:3-4_2_5_2-2_1_0-5_3-3_0-5:115	128.667	100.667	15	5
15	Image5D_bf2983_SPOT2.tif:3-5_2_5_2-2_1_0-5_3-3_0-5:115	96.000	144.000	15	5
16	Image5D_bf2983_SPOT2.tif:4-1_2_5_3-2_1_1_4-2_1:115	130.667	133.333	15	5
17	Image5D_bf2983_SPOT2.tif:4-2_3_5_3-2_1_1_4-1_1:115	154.000	133.333	15	5
18	Image5D_bf2983_SPOT2.tif:3-1_1_6_2-1_1_1_3-2_1:140	120.667	118.667	15	6
19	Image5D_bf2983_SPOT2.tif:3-3_3_6_2-2_1_0-5_3-4_0-5:140	137.333	116.000	15	6
20	Image5D_bf2983_SPOT2.tif:3-5_2_6_2-2_1_0-5_3-3_0-5:140	104.667	142.000	15	6
21	Image5D_bf2983_SPOT2.tif:4-1_2_6_3-2_1_1_4-2_1:140	139.333	132.000	15	6
22	Image5D_bf2983_SPOT2.tif:4-2_3_6_3-2_1_1_4-1_1:140	210.667	148.000	15	6
23	Image5D_bf2983_SPOT2.tif:4-3_3_6_3-4_1_1_4-4_1:140	129.333	102.000	15	6
