 	Label	X	Y	Slice	Frame
1	Image5D_bf2983_SPOT2.tif:1-1_1_0_NA_0_1_NA_1:15	398.667	212.000	15	1
2	Image5D_bf2983_SPOT2.tif:2-1_1_1_1-1_1_0-5_2-2_0-5:15	440.000	200.667	15	1
3	Image5D_bf2983_SPOT2.tif:2-2_2_1_1-1_1_0-5_2-1_0-5:15	460.000	196.667	15	1
4	Image5D_bf2983_SPOT2.tif:2-1_1_2_1-1_1_0-5_2-2_0-5:36	446.667	189.333	13	2
5	Image5D_bf2983_SPOT2.tif:3-1_2_2_2-2_1_1_3-2_1:36	466.000	188.667	13	2
6	Image5D_bf2983_SPOT2.tif:3-2_2_2_2-2_1_1_3-1_1:36	430.667	192.000	13	2
7	Image5D_bf2983_SPOT2.tif:2-1_1_3_1-1_1_0-5_2-2_0-5:62	458.000	197.333	16	3
8	Image5D_bf2983_SPOT2.tif:4-1_3_3_3-1_1_0-5_4-2_0-5:62	437.333	193.333	16	3
9	Image5D_bf2983_SPOT2.tif:4-2_3_3_3-1_1_0-5_4-1_0-5:62	442.000	166.667	16	3
10	Image5D_bf2983_SPOT2.tif:4-3_3_3_3-1_1_0-5_4-1_0-5:62	414.000	251.333	16	3
11	Image5D_bf2983_SPOT2.tif:4-4_3_3_3-2_1_0-5_4-5_0-5:62	466.667	153.333	16	3
12	Image5D_bf2983_SPOT2.tif:4-5_3_3_3-2_1_0-5_4-4_0-5:62	437.333	114.667	16	3
13	Image5D_bf2983_SPOT2.tif:4-6_3_3_3-2_1_0-5_4-4_0-5:62	422.000	79.333	16	3
14	Image5D_bf2983_SPOT2.tif:2-1_1_4_1-1_1_0-5_2-2_0-5:89	449.333	194.000	20	4
15	Image5D_bf2983_SPOT2.tif:4-1_3_4_3-1_1_0-5_4-2_0-5:89	430.000	190.000	20	4
16	Image5D_bf2983_SPOT2.tif:4-2_3_4_3-1_1_0-5_4-1_0-5:89	432.000	166.000	20	4
17	Image5D_bf2983_SPOT2.tif:4-3_3_4_3-1_1_0-5_4-1_0-5:89	404.667	244.000	20	4
18	Image5D_bf2983_SPOT2.tif:4-4_3_4_3-2_1_0-5_4-5_0-5:89	450.000	151.333	20	4
19	Image5D_bf2983_SPOT2.tif:4-5_3_4_3-2_1_0-5_4-4_0-5:89	426.000	111.333	20	4
20	Image5D_bf2983_SPOT2.tif:4-6_3_4_3-2_1_0-5_4-4_0-5:89	412.667	75.333	20	4
21	Image5D_bf2983_SPOT2.tif:2-1_1_5_1-1_1_0-5_2-2_0-5:113	430.667	181.333	21	5
22	Image5D_bf2983_SPOT2.tif:4-1_3_5_3-1_1_0-5_4-2_0-5:113	408.000	177.333	21	5
23	Image5D_bf2983_SPOT2.tif:4-2_3_5_3-1_1_0-5_4-1_0-5_0:113	393.333	145.333	21	5
24	Image5D_bf2983_SPOT2.tif:4-3_3_5_3-1_1_0-5_4-1_0-5_0:113	412.000	226.667	21	5
25	Image5D_bf2983_SPOT2.tif:4-4_3_5_3-2_1_0-5_4-5_0-5:113	419.333	151.333	21	5
26	Image5D_bf2983_SPOT2.tif:4-5_3_5_3-2_1_0-5_4-4_0-5:113	415.333	104.667	21	5
27	Image5D_bf2983_SPOT2.tif:4-6_3_5_3-2_1_0-5_4-4_0-5:113	401.333	73.333	21	5
28	Image5D_bf2983_SPOT2.tif:2-1_1_6_1-1_1_0-5_2-2_0-5:135	459.333	181.333	20	6
29	Image5D_bf2983_SPOT2.tif:4-1_3_6_3-1_1_0-5_4-2_0-5:135	426.667	185.333	20	6
30	Image5D_bf2983_SPOT2.tif:4-4_3_6_3-2_1_0-5_4-5_0-5:135	446.000	161.333	20	6
31	Image5D_bf2983_SPOT2.tif:4-5_3_6_3-2_1_0-5_4-4_0-5:135	437.333	106.667	20	6
32	Image5D_bf2983_SPOT2.tif:4-6_3_6_3-2_1_0-5_4-4_0-5:135	424.000	70.000	20	6
33	Image5D_bf2983_SPOT2.tif:2-1_1_7_1-1_1_0-5_2-2_0-5:163	430.000	180.000	25	7
34	Image5D_bf2983_SPOT2.tif:4-1_3_7_3-1_1_0-5_4-2_0-5:163	456.667	188.667	25	7
35	Image5D_bf2983_SPOT2.tif:4-4_3_7_3-2_1_0-5_4-5_0-5_0:163	445.333	152.000	25	7
36	Image5D_bf2983_SPOT2.tif:4-5_3_7_3-2_1_0-5_4-4_0-5:163	433.333	104.000	25	7
37	Image5D_bf2983_SPOT2.tif:4-6_3_7_3-2_1_0-5_4-4_0-5:163	421.333	65.333	25	7
38	Image5D_bf2983_SPOT2.tif:2-1_1_8_1-1_1_0-5_2-2_0-5:186	459.333	174.667	25	8
39	Image5D_bf2983_SPOT2.tif:4-1_3_8_3-1_1_0-5_4-2_0-5:186	433.333	169.333	25	8
40	Image5D_bf2983_SPOT2.tif:4-5_3_8_3-2_1_0-5_4-4_0-5:186	432.667	93.333	25	8
41	Image5D_bf2983_SPOT2.tif:4-6_3_8_3-2_1_0-5_4-4_0-5:186	414.667	56.667	25	8
42	Image5D_bf2983_SPOT2.tif:2-1_1_9_1-1_1_0-5_2-2_0-5:211	440.000	184.000	2	10
43	Image5D_bf2983_SPOT2.tif:4-1_3_9_3-1_1_0-5_4-2_0-5:211	420.667	178.000	2	10
44	Image5D_bf2983_SPOT2.tif:4-5_3_9_3-2_1_0-5_4-4_0-5:211	422.000	104.000	2	10
45	Image5D_bf2983_SPOT2.tif:4-6_3_9_3-2_1_0-5_4-4_0-5:211	408.000	68.000	2	10
46	Image5D_bf2983_SPOT2.tif:2-1_1_10_1-1_1_0-5_2-2_0-5:239	456.000	185.333	7	11
47	Image5D_bf2983_SPOT2.tif:4-1_3_10_3-1_1_0-5_4-2_0-5:239	431.333	178.000	7	11
48	Image5D_bf2983_SPOT2.tif:4-5_3_10_3-2_1_0-5_4-4_0-5:239	432.667	104.000	7	11
49	Image5D_bf2983_SPOT2.tif:4-6_3_10_3-2_1_0-5_4-4_0-5:239	420.667	60.000	7	11
50	Image5D_bf2983_SPOT2.tif:2-1_1_11_1-1_1_0-5_2-2_0-5:264	446.667	179.333	9	12
51	Image5D_bf2983_SPOT2.tif:4-1_3_11_3-1_1_0-5_4-2_0-5:264	423.333	171.333	9	12
52	Image5D_bf2983_SPOT2.tif:4-5_3_11_3-2_1_0-5_4-4_0-5:264	426.000	95.333	9	12
53	Image5D_bf2983_SPOT2.tif:4-6_3_11_3-2_1_0-5_4-4_0-5:264	413.333	61.333	9	12
54	Image5D_bf2983_SPOT2.tif:2-1_1_12_1-1_1_0-5_2-2_0-5:286	472.000	158.667	8	13
55	Image5D_bf2983_SPOT2.tif:4-1_3_12_3-1_1_0-5_4-2_0-5:286	445.333	151.333	8	13
