 	Label	X	Y	Slice	Frame
1	Image5D_bf3419_SPOT12.tif:1-1_1_1_NA_1_1_NA_1:13	102	224	13	1
2	Image5D_bf3419_SPOT12.tif:1-1_1_2_NA_1_1_NA_1:44	109	265	11	2
3	Image5D_bf3419_SPOT12.tif:1-1_1_3_NA_1_1_NA_1:77	108	292	11	3
4	Image5D_bf3419_SPOT12.tif:1-1_1_4_NA_1_1_NA_1:112	78	286	13	4
5	Image5D_bf3419_SPOT12.tif:1-1_1_5_NA_1_1_NA_1:145	92	311	13	5
6	Image5D_bf3419_SPOT12.tif:1-1_1_6_NA_1_1_NA_1:178	100	310	13	6
7	Image5D_bf3419_SPOT12.tif:1-1_1_7_NA_1_1_NA_1:211	92	308	13	7
8	Image5D_bf3419_SPOT12.tif:1-1_1_8_NA_1_1_NA_1:244	92	316	13	8
9	Image5D_bf3419_SPOT12.tif:1-1_1_9_NA_1_1_NA_1:277	90	320	13	9
10	Image5D_bf3419_SPOT12.tif:1-1_1_10_NA_1_1_NA_1:310	97	338	13	10
11	Image5D_bf3419_SPOT12.tif:1-1_1_11_NA_1_1_NA_1:342	107	336	12	11
12	Image5D_bf3419_SPOT12.tif:1-1_1_12_NA_1_1_NA_1:376	99	340	13	12
13	Image5D_bf3419_SPOT12.tif:1-1_1_13_NA_1_1_NA_1:409	118	338	13	13
14	Image5D_bf3419_SPOT12.tif:1-1_1_14_NA_1_1_NA_1:442	108	349	13	14
15	Image5D_bf3419_SPOT12.tif:1-1_1_15_NA_1_1_NA_1:477	117	340	15	15
16	Image5D_bf3419_SPOT12.tif:1-1_1_16_NA_1_1_NA_1:508	118	331	13	16
17	Image5D_bf3419_SPOT12.tif:1-1_1_17_NA_1_1_NA_1:541	122	333	13	17
18	Image5D_bf3419_SPOT12.tif:1-1_1_18_NA_1_1_NA_1:574	120	343	13	18
19	Image5D_bf3419_SPOT12.tif:1-1_1_19_NA_1_1_NA_1:608	128	334	14	19
20	Image5D_bf3419_SPOT12.tif:1-1_1_20_NA_1_1_NA_1:641	124	347	14	20
21	Image5D_bf3419_SPOT12.tif:2-1_1_21_1-1_1_1_2-2_1:674	114	333	14	21
22	Image5D_bf3419_SPOT12.tif:2-2_2_21_1-1_1_1_2-1_1:674	108	348	14	21
23	Image5D_bf3419_SPOT12.tif:2-1_1_22_1-1_1_1_2-2_1:707	123	319	14	22
24	Image5D_bf3419_SPOT12.tif:2-2_2_22_1-1_1_1_2-1_1:707	115	336	14	22
25	Image5D_bf3419_SPOT12.tif:2-1_1_23_1-1_1_1_2-2_1:739	98	328	13	23
26	Image5D_bf3419_SPOT12.tif:2-2_2_23_1-1_1_1_2-1_1:739	88	345	13	23
27	Image5D_bf3419_SPOT12.tif:2-1_1_24_1-1_1_1_2-2_1:771	102	311	12	24
28	Image5D_bf3419_SPOT12.tif:2-2_2_24_1-1_1_1_2-1_1:771	91	328	12	24
29	Image5D_bf3419_SPOT12.tif:2-1_1_25_1-1_1_1_2-2_1:803	137	325	11	25
30	Image5D_bf3419_SPOT12.tif:3-1_3_25_2-2_1_0-5_3-2_0-5:803	119	340	11	25
31	Image5D_bf3419_SPOT12.tif:3-2_2_25_2-2_1_0-5_3-1_0-5:803	140	306	11	25
32	Image5D_bf3419_SPOT12.tif:3-3_3_25_2-2_1_0-5_3-1_0-5:803	128	362	11	25
33	Image5D_bf3419_SPOT12.tif:2-1_1_26_1-1_1_1_2-2_1:836	124	317	11	26
34	Image5D_bf3419_SPOT12.tif:3-1_3_26_2-2_1_0-5_3-2_0-5:836	111	338	11	26
35	Image5D_bf3419_SPOT12.tif:3-2_2_26_2-2_1_0-5_3-1_0-5_0:836	137	302	11	26
36	Image5D_bf3419_SPOT12.tif:3-3_3_26_2-2_1_0-5_3-1_0-5_0:836	128	356	11	26
37	Image5D_bf3419_SPOT12.tif:2-1_1_27_1-1_1_1_2-2_1:869	123	312	11	27
38	Image5D_bf3419_SPOT12.tif:3-1_3_27_2-2_1_0-5_3-2_0-5:869	118	334	11	27
39	Image5D_bf3419_SPOT12.tif:2-1_1_28_1-1_1_1_2-2_1:902	128	316	11	28
40	Image5D_bf3419_SPOT12.tif:3-1_3_28_2-2_1_0-5_3-2_0-5:902	118	328	11	28
41	Image5D_bf3419_SPOT12.tif:2-1_1_29_1-1_1_1_2-2_1:935	131	318	11	29
42	Image5D_bf3419_SPOT12.tif:3-1_3_29_2-2_1_0-5_3-2_0-5_0:935	115	334	11	29
43	Image5D_bf3419_SPOT12.tif:2-1_1_30_1-1_1_1_2-2_1:968	124	330	11	30
44	Image5D_bf3419_SPOT12.tif:2-1_1_31_1-1_1_1_2-2_1:1001	120	321	11	31
45	Image5D_bf3419_SPOT12.tif:2-1_1_32_1-1_1_1_2-2_1:1034	132	318	11	32
46	Image5D_bf3419_SPOT12.tif:2-1_1_33_1-1_1_1_2-2_1:1067	131	326	11	33
47	Image5D_bf3419_SPOT12.tif:2-1_1_34_1-1_1_1_2-2_1:1100	124	324	11	34
48	Image5D_bf3419_SPOT12.tif:2-1_1_35_1-1_1_1_2-2_1:1135	128	326	13	35
49	Image5D_bf3419_SPOT12.tif:2-1_1_36_1-1_1_1_2-2_1:1169	118	332	14	36
50	Image5D_bf3419_SPOT12.tif:2-1_1_37_1-1_1_1_2-2_1:1202	123	341	14	37
51	Image5D_bf3419_SPOT12.tif:2-1_1_38_1-1_1_1_2-2_1:1233	131	336	12	38
52	Image5D_bf3419_SPOT12.tif:2-1_1_39_1-1_1_1_2-2_1:1266	129	331	12	39
53	Image5D_bf3419_SPOT12.tif:2-1_1_40_1-1_1_1_2-2_1:1301	130	328	14	40
54	Image5D_bf3419_SPOT12.tif:2-1_1_41_1-1_1_1_2-2_1:1334	129	330	14	41
55	Image5D_bf3419_SPOT12.tif:2-1_1_42_1-1_1_1_2-2_1:1365	131	330	12	42
56	Image5D_bf3419_SPOT12.tif:2-1_1_43_1-1_1_1_2-2_1:1398	132	326	12	43
57	Image5D_bf3419_SPOT12.tif:2-1_1_44_1-1_1_1_2-2_1:1431	122	335	12	44
58	Image5D_bf3419_SPOT12.tif:2-1_1_45_1-1_1_1_2-2_1:1464	122	333	12	45
59	Image5D_bf3419_SPOT12.tif:2-1_1_46_1-1_1_1_2-2_1:1497	122	332	12	46
60	Image5D_bf3419_SPOT12.tif:2-1_1_47_1-1_1_1_2-2_1:1528	144	337	10	47
61	Image5D_bf3419_SPOT12.tif:2-1_1_48_1-1_1_1_2-2_1:1561	136	344	10	48
62	Image5D_bf3419_SPOT12.tif:2-1_1_49_1-1_1_1_2-2_1:1594	137	334	10	49
63	Image5D_bf3419_SPOT12.tif:2-1_1_50_1-1_1_1_2-2_1:1628	125	342	11	50
64	Image5D_bf3419_SPOT12.tif:2-1_1_51_1-1_1_1_2-2_1:1661	136	323	11	51
65	Image5D_bf3419_SPOT12.tif:2-1_1_52_1-1_1_1_2-2_1:1694	130	335	11	52
66	Image5D_bf3419_SPOT12.tif:2-1_1_53_1-1_1_1_2-2_1:1727	116	326	11	53
67	Image5D_bf3419_SPOT12.tif:2-1_1_54_1-1_1_1_2-2_1:1761	110	322	12	54
68	Image5D_bf3419_SPOT12.tif:2-1_1_55_1-1_1_1_2-2_1:1794	128	336	12	55
69	Image5D_bf3419_SPOT12.tif:2-1_1_56_1-1_1_1_2-2_1:1827	118	342	12	56
70	Image5D_bf3419_SPOT12.tif:2-1_1_57_1-1_1_1_2-2_1:1860	134	334	12	57
71	Image5D_bf3419_SPOT12.tif:2-1_1_58_1-1_1_1_2-2_1:1893	131	327	12	58
72	Image5D_bf3419_SPOT12.tif:2-1_1_59_1-1_1_1_2-2_1:1926	132	338	12	59
73	Image5D_bf3419_SPOT12.tif:2-1_1_60_1-1_1_1_2-2_1:1959	140	271	12	60
74	Image5D_bf3419_SPOT12.tif:2-1_1_61_1-1_1_1_2-2_1:1992	146	275	12	61
75	Image5D_bf3419_SPOT12.tif:2-1_1_62_1-1_1_1_2-2_1:2025	161	266	12	62
