 	Label	X	Y	Slice	Frame
1	Image5D_bf2981_SPOT1.tif:1-1_1_1_NA_1_1_NA_1:21	184.667	402.000	21	1
2	Image5D_bf2981_SPOT1.tif:1-1_1_2_NA_1_1_NA_1:50	193.333	390.000	21	2
3	Image5D_bf2981_SPOT1.tif:1-1_1_3_NA_1_1_NA_1:79	206.000	398.667	21	3
4	Image5D_bf2981_SPOT1.tif:1-1_1_4_NA_1_1_NA_1:108	192.667	401.333	21	4
5	Image5D_bf2981_SPOT1.tif:1-1_1_5_NA_1_1_NA_1:137	192.000	408.000	21	5
6	Image5D_bf2981_SPOT1.tif:1-1_1_6_NA_1_1_NA_1:166	192.667	423.333	21	6
7	Image5D_bf2981_SPOT1.tif:1-1_1_7_NA_1_1_NA_1:195	199.333	417.333	21	7
8	Image5D_bf2981_SPOT1.tif:1-1_1_8_NA_1_1_NA_1:224	199.333	420.667	21	8
9	Image5D_bf2981_SPOT1.tif:1-1_1_9_NA_1_1_NA_1:255	195.333	428.000	23	9
10	Image5D_bf2981_SPOT1.tif:1-1_1_10_NA_1_1_NA_1:283	195.333	441.333	22	10
11	Image5D_bf2981_SPOT1.tif:1-1_1_11_NA_1_1_NA_1:312	186.667	424.667	22	11
12	Image5D_bf2981_SPOT1.tif:1-1_1_12_NA_1_1_NA_1:340	203.333	426.000	21	12
13	Image5D_bf2981_SPOT1.tif:1-1_1_13_NA_1_1_NA_1:371	199.333	431.333	23	13
14	Image5D_bf2981_SPOT1.tif:2-1_1_14_1-1_1_1_2-2_1:397	177.333	432.000	20	14
15	Image5D_bf2981_SPOT1.tif:2-2_3_14_1-1_1_1_2-1_1:397	191.333	423.333	20	14
16	Image5D_bf2981_SPOT1.tif:2-1_1_15_1-1_1_1_2-2_1:426	191.333	434.667	20	15
17	Image5D_bf2981_SPOT1.tif:2-2_3_15_1-1_1_1_2-1_1:426	206.000	432.667	20	15
18	Image5D_bf2981_SPOT1.tif:2-1_1_16_1-1_1_1_2-2_1:455	184.000	435.333	20	16
19	Image5D_bf2981_SPOT1.tif:2-2_3_16_1-1_1_1_2-1_1:455	198.667	432.000	20	16
20	Image5D_bf2981_SPOT1.tif:2-2_3_17_1-1_1_1_2-1_1:485	209.333	428.000	21	17
21	Image5D_bf2981_SPOT1.tif:3-1_3_17_2-1_1_1_3-2_1:485	196.667	432.667	21	17
22	Image5D_bf2981_SPOT1.tif:3-2_3_17_2-1_1_1_3-1_1:485	174.000	429.333	21	17
23	Image5D_bf2981_SPOT1.tif:2-2_3_18_1-1_1_1_2-1_1:512	205.333	436.667	19	18
24	Image5D_bf2981_SPOT1.tif:3-1_3_18_2-1_1_1_3-2_1:512	188.000	437.333	19	18
25	Image5D_bf2981_SPOT1.tif:3-2_3_18_2-1_1_1_3-1_1:512	166.000	435.333	19	18
26	Image5D_bf2981_SPOT1.tif:2-2_3_19_1-1_1_1_2-1_1:542	203.333	428.667	20	19
27	Image5D_bf2981_SPOT1.tif:3-1_3_19_2-1_1_1_3-2_1_0:542	188.667	432.000	20	19
28	Image5D_bf2981_SPOT1.tif:3-2_3_19_2-1_1_1_3-1_1:542	160.667	433.333	20	19
29	Image5D_bf2981_SPOT1.tif:2-2_3_20_1-1_1_1_2-1_1:572	186.000	459.333	21	20
30	Image5D_bf2981_SPOT1.tif:3-2_3_20_2-1_1_1_3-1_1:572	158.000	436.000	21	20
31	Image5D_bf2981_SPOT1.tif:2-2_3_21_1-1_1_1_2-1_1:599	228.000	440.000	19	21
32	Image5D_bf2981_SPOT1.tif:3-2_3_21_2-1_1_1_3-1_1:599	183.333	452.000	19	21
33	Image5D_bf2981_SPOT1.tif:2-2_3_22_1-1_1_1_2-1_1:628	198.000	442.000	19	22
34	Image5D_bf2981_SPOT1.tif:3-2_3_22_2-1_1_1_3-1_1:628	154.667	442.000	19	22
35	Image5D_bf2981_SPOT1.tif:2-2_3_23_1-1_1_1_2-1_1:657	199.333	441.333	19	23
36	Image5D_bf2981_SPOT1.tif:3-2_3_23_2-1_1_1_3-1_1:657	170.000	439.333	19	23
37	Image5D_bf2981_SPOT1.tif:2-2_3_24_1-1_1_1_2-1_1:687	196.000	435.333	20	24
38	Image5D_bf2981_SPOT1.tif:3-2_3_24_2-1_1_1_3-1_1:687	162.000	442.000	20	24
39	Image5D_bf2981_SPOT1.tif:2-2_3_25_1-1_1_1_2-1_1:716	199.333	430.000	20	25
40	Image5D_bf2981_SPOT1.tif:3-2_3_25_2-1_1_1_3-1_1:716	162.000	438.000	20	25
41	Image5D_bf2981_SPOT1.tif:2-2_3_26_1-1_1_1_2-1_1:745	207.333	424.000	20	26
42	Image5D_bf2981_SPOT1.tif:3-2_3_26_2-1_1_1_3-1_1:745	171.333	433.333	20	26
43	Image5D_bf2981_SPOT1.tif:2-2_3_27_1-1_1_1_2-1_1:774	202.667	438.000	20	27
44	Image5D_bf2981_SPOT1.tif:3-2_3_27_2-1_1_1_3-1_1:774	167.333	448.667	20	27
45	Image5D_bf2981_SPOT1.tif:2-2_3_28_1-1_1_1_2-1_1_0:803	196.667	438.667	20	28
46	Image5D_bf2981_SPOT1.tif:3-2_3_28_2-1_1_1_3-1_1:803	162.000	454.000	20	28
47	Image5D_bf2981_SPOT1.tif:3-2_3_29_2-1_1_1_3-1_1:832	166.000	444.000	20	29
48	Image5D_bf2981_SPOT1.tif:3-2_3_30_2-1_1_1_3-1_1_0:863	157.333	451.333	22	30
