 	Label	X	Y	Slice	Frame
1	Image5D_bf2983_SPOT1.tif:1-1_1_0_NA_0_1_NA_1:20	209.333	452.667	20	1
2	Image5D_bf2983_SPOT1.tif:2-1_1_1_1-1_1_0-5_2-2_0-5:20	272.000	450.667	20	1
3	Image5D_bf2983_SPOT1.tif:2-2_2_1_1-1_1_0-5_2-1_0-5:20	284.667	442.000	20	1
4	Image5D_bf2983_SPOT1.tif:2-3_3_1_1-1_1_0-5_2-1_0-5:20	332.667	424.667	20	1
5	Image5D_bf2983_SPOT1.tif:2-1_1_2_1-1_1_0-5_2-2_0-5:53	275.333	449.333	22	2
6	Image5D_bf2983_SPOT1.tif:2-2_2_2_1-1_1_0-5_2-1_0-5:53	294.667	444.000	22	2
7	Image5D_bf2983_SPOT1.tif:2-3_3_2_1-1_1_0-5_2-1_0-5:53	338.000	431.333	22	2
8	Image5D_bf2983_SPOT1.tif:2-1_1_3_1-1_1_0-5_2-2_0-5:79	291.333	366.667	17	3
9	Image5D_bf2983_SPOT1.tif:2-2_2_3_1-1_1_0-5_2-1_0-5:79	308.667	354.000	17	3
10	Image5D_bf2983_SPOT1.tif:2-3_3_3_1-1_1_0-5_2-1_0-5:79	354.667	340.667	17	3
11	Image5D_bf2983_SPOT1.tif:2-1_1_4_1-1_1_0-5_2-2_0-5:110	298.000	370.667	17	4
12	Image5D_bf2983_SPOT1.tif:2-3_3_4_1-1_1_0-5_2-1_0-5:110	354.000	344.667	17	4
13	Image5D_bf2983_SPOT1.tif:3-1_2_4_2-2_1_1_3-2_1:110	314.000	350.667	17	4
14	Image5D_bf2983_SPOT1.tif:3-2_3_4_2-2_1_1_3-1_1:110	320.667	376.667	17	4
15	Image5D_bf2983_SPOT1.tif:2-1_1_5_1-1_1_0-5_2-2_0-5:141	298.667	372.000	17	5
16	Image5D_bf2983_SPOT1.tif:2-3_3_5_1-1_1_0-5_2-1_0-5:141	358.667	346.000	17	5
17	Image5D_bf2983_SPOT1.tif:3-1_2_5_2-2_1_1_3-2_1:141	314.667	349.333	17	5
18	Image5D_bf2983_SPOT1.tif:3-2_3_5_2-2_1_1_3-1_1:141	324.000	370.000	17	5
19	Image5D_bf2983_SPOT1.tif:2-1_1_6_1-1_1_0-5_2-2_0-5:171	300.000	363.333	16	6
20	Image5D_bf2983_SPOT1.tif:2-3_3_6_1-1_1_0-5_2-1_0-5:171	356.667	341.333	16	6
21	Image5D_bf2983_SPOT1.tif:3-1_2_6_2-2_1_1_3-2_1:171	317.333	353.333	16	6
22	Image5D_bf2983_SPOT1.tif:3-2_3_6_2-2_1_1_3-1_1:171	305.333	342.667	16	6
23	Image5D_bf2983_SPOT1.tif:2-1_1_7_1-1_1_0-5_2-2_0-5:201	300.000	361.333	15	7
24	Image5D_bf2983_SPOT1.tif:2-3_3_7_1-1_1_0-5_2-1_0-5:201	360.000	339.333	15	7
25	Image5D_bf2983_SPOT1.tif:3-1_2_7_2-2_1_1_3-2_1:201	323.333	355.333	15	7
26	Image5D_bf2983_SPOT1.tif:3-2_3_7_2-2_1_1_3-1_1:201	309.333	316.667	15	7
27	Image5D_bf2983_SPOT1.tif:2-1_1_8_1-1_1_0-5_2-2_0-5:234	302.667	368.000	17	8
28	Image5D_bf2983_SPOT1.tif:2-3_3_8_1-1_1_0-5_2-1_0-5:234	370.000	336.000	17	8
29	Image5D_bf2983_SPOT1.tif:3-2_3_8_2-2_1_1_3-1_1:234	330.667	326.000	17	8
30	Image5D_bf2983_SPOT1.tif:4-1_2_8_3-1_1_1_4-2_1:234	317.333	347.333	17	8
31	Image5D_bf2983_SPOT1.tif:4-2_3_8_3-1_1_1_4-1_1:234	331.333	370.000	17	8
32	Image5D_bf2983_SPOT1.tif:2-1_1_9_1-1_1_0-5_2-2_0-5:267	299.333	366.667	19	9
33	Image5D_bf2983_SPOT1.tif:2-3_3_9_1-1_1_0-5_2-1_0-5:267	358.000	344.000	19	9
34	Image5D_bf2983_SPOT1.tif:3-2_3_9_2-2_1_1_3-1_1:267	322.667	334.667	19	9
35	Image5D_bf2983_SPOT1.tif:4-1_2_9_3-1_1_1_4-2_1:267	316.667	358.000	19	9
36	Image5D_bf2983_SPOT1.tif:4-2_3_9_3-1_1_1_4-1_1:267	326.667	382.667	19	9
37	Image5D_bf2983_SPOT1.tif:2-1_1_10_1-1_1_0-5_2-2_0-5:298	300.667	368.000	19	10
38	Image5D_bf2983_SPOT1.tif:2-3_3_10_1-1_1_0-5_2-1_0-5:298	358.667	342.000	19	10
39	Image5D_bf2983_SPOT1.tif:3-2_3_10_2-2_1_1_3-1_1:298	328.000	331.333	19	10
