 	Label	X	Y	Slice	Frame
1	Image5D_bf4845_SPOT4.tif:1-1_1_1_NA_NA_1_1_NA_1:14	10.667	199.333	14	1
2	Image5D_bf4845_SPOT4.tif:1-1_1_2_NA_NA_1_1_NA_1:39	17.333	190.667	14	2
3	Image5D_bf4845_SPOT4.tif:1-1_1_3_NA_NA_1_1_NA_1:64	18.000	190.000	14	3
4	Image5D_bf4845_SPOT4.tif:1-1_1_4_NA_NA_1_1_NA_1:89	14.667	211.333	14	4
5	Image5D_bf4845_SPOT4.tif:1-1_1_5_NA_NA_1_1_NA_1:114	17.333	183.333	14	5
6	Image5D_bf4845_SPOT4.tif:1-1_1_6_NA_NA_1_1_NA_1:139	80.000	133.333	14	6
7	Image5D_bf4845_SPOT4.tif:1-1_1_7_NA_NA_1_1_NA_1:165	84.667	143.333	15	7
8	Image5D_bf4845_SPOT4.tif:1-1_1_8_NA_NA_1_1_NA_1:188	74.667	152.000	13	8
9	Image5D_bf4845_SPOT4.tif:1-1_1_9_NA_NA_1_1_NA_1:214	66.667	156.667	14	9
10	Image5D_bf4845_SPOT4.tif:1-1_1_10_NA_NA_1_1_NA_1:241	74.000	128.000	16	10
11	Image5D_bf4845_SPOT4.tif:1-1_1_11_NA_NA_1_1_NA_1:266	73.333	126.667	16	11
12	Image5D_bf4845_SPOT4.tif:1-1_1_12_NA_NA_1_1_NA_1:291	78.000	126.667	16	12
13	Image5D_bf4845_SPOT4.tif:1-1_1_13_NA_NA_1_1_NA_1:316	76.000	138.000	16	13
14	Image5D_bf4845_SPOT4.tif:1-1_1_14_NA_NA_1_1_NA_1:341	75.333	127.333	16	14
15	Image5D_bf4845_SPOT4.tif:1-1_1_15_NA_NA_1_1_NA_1:366	94.667	132.000	16	15
16	Image5D_bf4845_SPOT4.tif:1-1_1_16_NA_NA_1_1_NA_1:393	109.333	134.000	18	16
17	Image5D_bf4845_SPOT4.tif:1-1_1_17_NA_NA_1_1_NA_1:416	112.000	137.333	16	17
18	Image5D_bf4845_SPOT4.tif:1-1_1_18_NA_NA_1_1_NA_1:441	100.000	149.333	16	18
19	Image5D_bf4845_SPOT4.tif:1-1_1_19_NA_NA_1_1_NA_1:468	103.333	147.333	18	19
20	Image5D_bf4845_SPOT4.tif:1-1_1_20_NA_NA_1_1_NA_1:491	108.000	155.333	16	20
21	Image5D_bf4845_SPOT4.tif:1-1_1_21_NA_NA_1_1_NA_1:516	110.000	151.333	16	21
22	Image5D_bf4845_SPOT4.tif:1-1_1_22_NA_NA_1_1_NA_1:541	111.333	154.000	16	22
23	Image5D_bf4845_SPOT4.tif:1-1_1_23_NA_NA_1_1_NA_1:566	112.000	146.000	16	23
24	Image5D_bf4845_SPOT4.tif:1-1_1_24_NA_NA_1_1_NA_1:591	100.000	145.333	16	24
25	Image5D_bf4845_SPOT4.tif:1-1_1_25_NA_NA_1_1_NA_1:616	103.333	143.333	16	25
26	Image5D_bf4845_SPOT4.tif:1-1_1_26_NA_NA_1_1_NA_1:641	112.000	144.667	16	26
27	Image5D_bf4845_SPOT4.tif:1-1_1_27_NA_NA_1_1_NA_1:666	93.333	148.000	16	27
28	Image5D_bf4845_SPOT4.tif:1-1_1_28_NA_NA_1_1_NA_1:693	90.667	142.667	18	28
29	Image5D_bf4845_SPOT4.tif:1-1_1_29_NA_NA_1_1_NA_1:718	101.333	157.333	18	29
30	Image5D_bf4845_SPOT4.tif:1-1_1_30_NA_NA_1_1_NA_1:743	70.667	157.333	18	30
31	Image5D_bf4845_SPOT4.tif:1-1_1_31_NA_NA_1_1_NA_1:768	79.333	138.000	18	31
32	Image5D_bf4845_SPOT4.tif:1-1_1_32_NA_NA_1_1_NA_1:794	85.333	127.333	19	32
33	Image5D_bf4845_SPOT4.tif:1-1_1_33_NA_NA_1_1_NA_1:819	77.333	136.667	19	33
34	Image5D_bf4845_SPOT4.tif:2-1_2_34_1-1_0-5_1_2-2_1:843	90.667	136.667	18	34
35	Image5D_bf4845_SPOT4.tif:2-2_3_34_1-1_1_1_2-1_1:843	98.000	127.333	18	34
36	Image5D_bf4845_SPOT4.tif:2-1_2_35_1-1_0-5_1_2-2_1:868	82.667	137.333	18	35
37	Image5D_bf4845_SPOT4.tif:2-2_3_35_1-1_1_1_2-1_1:868	94.667	131.333	18	35
