 	Label	X	Y	Slice	Frame
1	Image5D_bf2983_SPOT10.tif:1-1_1_1_NA_1_1_NA_1:17	196.667	85.333	17	1
2	Image5D_bf2983_SPOT10.tif:1-1_1_2_NA_1_1_NA_1:44	193.333	99.333	15	2
3	Image5D_bf2983_SPOT10.tif:2-1_1_3_1-1_1_1_2-2_1:72	192.000	112.667	14	3
4	Image5D_bf2983_SPOT10.tif:2-2_2_3_1-1_1_1_2-1_1:72	200.667	100.000	14	3
5	Image5D_bf2983_SPOT10.tif:2-1_1_4_1-1_1_1_2-2_1:105	202.667	113.333	18	4
6	Image5D_bf2983_SPOT10.tif:2-2_2_4_1-1_1_1_2-1_1:105	216.000	108.667	18	4
7	Image5D_bf2983_SPOT10.tif:2-1_1_5_1-1_1_1_2-2_1:134	183.333	122.000	18	5
8	Image5D_bf2983_SPOT10.tif:2-2_2_5_1-1_1_1_2-1_1:134	194.000	113.333	18	5
9	Image5D_bf2983_SPOT10.tif:2-1_1_6_1-1_1_1_2-2_1:161	181.333	113.333	16	6
10	Image5D_bf2983_SPOT10.tif:2-2_2_6_1-1_1_1_2-1_1:161	190.667	103.333	16	6
11	Image5D_bf2983_SPOT10.tif:2-1_1_7_1-1_1_1_2-2_1:190	182.667	114.000	16	7
12	Image5D_bf2983_SPOT10.tif:3-1_3_7_2-2_1_1_3-2_1:190	197.333	107.333	16	7
13	Image5D_bf2983_SPOT10.tif:3-2_3_7_2-2_1_1_3-1_1:190	195.333	122.000	16	7
14	Image5D_bf2983_SPOT10.tif:2-1_1_8_1-1_1_1_2-2_1:218	185.333	74.000	15	8
15	Image5D_bf2983_SPOT10.tif:3-1_3_8_2-2_1_1_3-2_1:218	211.333	67.333	15	8
16	Image5D_bf2983_SPOT10.tif:3-2_3_8_2-2_1_1_3-1_1:218	200.667	84.667	15	8
17	Image5D_bf2983_SPOT10.tif:3-1_3_9_2-2_1_1_3-2_1_0:248	169.333	58.000	16	9
18	Image5D_bf2983_SPOT10.tif:3-2_3_9_2-2_1_1_3-1_1_0:248	176.667	84.000	16	9
19	Image5D_bf2983_SPOT10.tif:3-3_1_9_2-1_1_1_3-4_1:248	153.333	76.000	16	9
