 	Label	X	Y	Slice	Frame
1	Image5D_bf4845_SPOT3.tif:1-1_1_0_NA_0_1_NA_1:15	348	122	15	1
2	Image5D_bf4845_SPOT3.tif:2-1_1_1_1-1_1_0-5_2-2_0-5:14	384	114	14	1
3	Image5D_bf4845_SPOT3.tif:2-2_2_1_1-1_1_0-5_2-1_0-5:14	401	144	14	1
4	Image5D_bf4845_SPOT3.tif:2-1_1_2_1-1_1_0-5_2-2_0-5:37	360	128	12	2
5	Image5D_bf4845_SPOT3.tif:3-1_3_2_2-2_1_1_3-2_1:38	368	155	13	2
6	Image5D_bf4845_SPOT3.tif:3-2_2_2_2-2_1_1_3-1_1:38	384	166	13	2
7	Image5D_bf4845_SPOT3.tif:2-1_1_3_1-1_1_0-5_2-2_0-5:63	368	120	13	3
8	Image5D_bf4845_SPOT3.tif:3-1_3_3_2-2_1_1_3-2_1:63	374	137	13	3
9	Image5D_bf4845_SPOT3.tif:4-1_3_3_3-2_1_1_4-2_1:63	400	152	13	3
10	Image5D_bf4845_SPOT3.tif:4-2_3_3_3-2_1_1_4-1_1:63	376	156	13	3
11	Image5D_bf4845_SPOT3.tif:2-1_1_4_1-1_1_0-5_2-2_0-5:87	361	104	12	4
12	Image5D_bf4845_SPOT3.tif:3-1_3_4_2-2_1_1_3-2_1:87	363	119	12	4
13	Image5D_bf4845_SPOT3.tif:4-1_3_4_3-2_1_1_4-2_1:87	397	135	12	4
14	Image5D_bf4845_SPOT3.tif:4-2_3_4_3-2_1_1_4-1_1:87	370	136	12	4
15	Image5D_bf4845_SPOT3.tif:2-1_1_5_1-1_1_0-5_2-2_0-5:116	80	120	16	5
16	Image5D_bf4845_SPOT3.tif:3-1_3_5_2-2_1_1_3-2_1:116	85	146	16	5
17	Image5D_bf4845_SPOT3.tif:4-1_3_5_3-2_1_1_4-2_1:116	110	161	16	5
18	Image5D_bf4845_SPOT3.tif:4-2_3_5_3-2_1_1_4-1_1:116	91	163	16	5
19	Image5D_bf4845_SPOT3.tif:2-1_1_6_1-1_1_0-5_2-2_0-5:141	89	138	16	6
20	Image5D_bf4845_SPOT3.tif:3-1_3_6_2-2_1_1_3-2_1:141	90	156	16	6
