 	Label	X	Y	Slice	Frame
1	Image5D_bf2985_SPOT4.tif:1-1_1_1_NA_1_1_NA_1:14	314.667	105.333	14	1
2	Image5D_bf2985_SPOT4.tif:1-1_1_2_NA_1_1_NA_1:37	317.333	100.000	10	2
3	Image5D_bf2985_SPOT4.tif:1-1_1_3_NA_1_1_NA_1:66	322.667	97.333	12	3
4	Image5D_bf2985_SPOT4.tif:1-1_1_4_NA_1_1_NA_1:96	310.000	96.667	15	4
5	Image5D_bf2985_SPOT4.tif:1-1_1_5_NA_1_1_NA_1:121	299.333	94.000	13	5
6	Image5D_bf2985_SPOT4.tif:1-1_1_6_NA_1_1_NA_1:146	320.000	89.333	11	6
7	Image5D_bf2985_SPOT4.tif:1-1_1_7_NA_1_1_NA_1:175	318.000	87.333	13	7
8	Image5D_bf2985_SPOT4.tif:1-1_1_8_NA_1_1_NA_1:201	316.000	82.000	12	8
9	Image5D_bf2985_SPOT4.tif:1-1_1_9_NA_1_1_NA_1:228	308.000	94.000	12	9
10	Image5D_bf2985_SPOT4.tif:1-1_1_10_NA_1_1_NA_1:257	317.333	93.333	14	10
11	Image5D_bf2985_SPOT4.tif:1-1_1_11_NA_1_1_NA_1:284	311.333	85.333	14	11
12	Image5D_bf2985_SPOT4.tif:1-1_1_12_NA_1_1_NA_1:311	324.000	72.667	14	12
13	Image5D_bf2985_SPOT4.tif:1-1_1_13_NA_1_1_NA_1:338	288.667	81.333	14	13
14	Image5D_bf2985_SPOT4.tif:1-1_1_14_NA_1_1_NA_1:365	315.333	78.000	14	14
15	Image5D_bf2985_SPOT4.tif:1-1_1_15_NA_1_1_NA_1:392	302.000	92.000	14	15
16	Image5D_bf2985_SPOT4.tif:2-1_1_16_1-1_1_1_2-2_1:418	298.667	87.333	13	16
17	Image5D_bf2985_SPOT4.tif:2-2_3_16_1-1_1_1_2-1_1:418	294.667	73.333	13	16
18	Image5D_bf2985_SPOT4.tif:2-1_1_17_1-1_1_1_2-2_1:445	298.667	88.000	13	17
19	Image5D_bf2985_SPOT4.tif:2-2_3_17_1-1_1_1_2-1_1:445	289.333	76.000	13	17
20	Image5D_bf2985_SPOT4.tif:2-1_1_18_1-1_1_1_2-2_1:472	293.333	90.000	13	18
21	Image5D_bf2985_SPOT4.tif:2-2_3_18_1-1_1_1_2-1_1:472	292.667	78.667	13	18
